""	"Activity"	"Pvalue"
"Androgen"	-0.271571379810748	0.785951608237207
"EGFR"	1.5336351505436	0.125119435750475
"Estrogen"	-0.786759757119471	0.431422515393721
"Hypoxia"	3.89751711001961	9.71839580004019e-05
"JAK.STAT"	6.60422551402605	3.99600352807283e-11
"MAPK"	4.27604836413319	1.90239911921353e-05
"NFkB"	4.36928313219486	1.24655063187262e-05
"p53"	-2.25814431295082	0.0239366637235332
"PI3K"	0.970501403711054	0.331796625565501
"TGFb"	-2.91074061790791	0.00360573213306867
"TNFa"	4.77809023924195	1.76967961817986e-06
"Trail"	-0.0333712933500759	0.973378501495521
"VEGF"	-1.57821271801045	0.114516749454911
"WNT"	0.651413871196726	0.514779358814728
