"","W","pvalue","r","adjpval","significance"
"Cavity-Mac",257,0.367686525295382,-0.131,0.587928353893803,"ns"
"IFNIC-Mac",NA,NA,NA,NA,"nt"
"Inflammatory-Mac",961,0.918383360078514,0.00902,0.918383360078514,"ns"
"Resident-Mac",1393,0.440946265420352,-0.0638,0.587928353893803,"ns"
"Trem2-foamy-Mac",680,1.40013928498582e-07,0.423,5.60055713994329e-07,"***"
