"","W","pvalue","r","adjpval","significance"
"Cavity-Mac",69.5,1.49045725449432e-05,0.62,2.98091450898863e-05,"***"
"IFNIC-Mac",NA,NA,NA,NA,"nt"
"Inflammatory-Mac",679,0.00696211567204667,0.23,0.00696211567204667,"**"
"Resident-Mac",705,5.91269119771144e-06,0.374,2.36507647908458e-05,"***"
"TREM2hi-Mac",1139,2.93571491862992e-05,0.336,3.91428655817323e-05,"***"
