p_val,avg_logFC,pct.1,pct.2,p_val_adj
Tpi1,8.49177035058169e-13,1.2219604715561,0.966,0.683,1.24879974775654e-08
Igkc,6.06122521822429e-12,0.727645682707487,0.552,0.056,8.91363780592064e-08
Pgk1,1.441883803766e-11,1.1975500089718,0.897,0.5,2.12043432181828e-07
Adam8,2.09279098190925e-10,0.934763831875027,0.724,0.198,3.07765841799574e-06
Ldha,2.54291887173841e-10,1.08233508140249,0.931,0.817,3.73961649277851e-06
Aldoa,5.0815690212078e-10,0.933371254068763,0.966,0.905,7.47295540258819e-06
Mif,5.40608127759084e-10,1.10293078880924,0.897,0.611,7.95018312682508e-06
Pkm,5.54623551148099e-09,0.848285887218812,1,0.929,8.15629394318394e-05
Ctsl,1.17018196411264e-08,1.64297658330633,0.966,0.706,0.000172086959642405
Gapdh,1.87229806499479e-08,0.792157549791807,0.966,0.937,0.000275340153438134
Gpnmb,4.88976296269739e-08,1.68172922319332,0.483,0.079,0.000719088541294278
Ighm,8.88109551116747e-08,-1.09502791666025,0.345,0.817,0.00130605390587229
Spp1,1.40013928498582e-07,1.88192191551487,1,0.849,0.00205904483250015
F13a1,3.00154891625277e-07,0.663117999059515,0.276,0.016,0.00441407783624132
Hal,3.54009274071002e-07,0.678576231908956,0.241,0.008,0.00520606038448816
Slc16a3,3.68622564135171e-07,1.01095985354763,0.655,0.262,0.00542096342817183
Pgam1,4.47097286384611e-07,0.922440319820667,0.862,0.683,0.00657501269357208
Ecm1,4.93382709401359e-07,1.21394527598407,0.724,0.278,0.00725568612445639
Tmem176b,5.10793211816393e-07,-1.18870155023449,0.448,0.825,0.00751172497297188
Mgp,6.93544830275296e-07,-0.838557289903475,0.345,0.762,0.0101992702740285
Prelid1,1.50172467587616e-06,0.642965765351032,0.862,0.683,0.0220843630834348
Atp6v0d2,1.68827442607354e-06,0.561773019135636,0.379,0.056,0.0248277637098375
Ier5,3.0339077400077e-06,-0.943420902766536,0.586,0.873,0.0446166472245532
Folr2,3.13918142878425e-06,1.23330443435111,0.448,0.111,0.0461648020917012
Lyz2,3.23882782276863e-06,0.834064357283424,1,0.937,0.0476302019616354
Anpep,3.99717690907258e-06,0.584560568695437,0.621,0.206,0.0587824836248213
Mkl2,4.04271272008619e-06,0.298731015763567,0.31,0.04,0.0594521332615875
Npy,4.82482472409218e-06,0.574912389515061,0.31,0.04,0.0709538723924997
Pf4,6.77596125056804e-06,0.991990087457908,0.724,0.302,0.0996472861508535
Eno1,7.19898849127842e-06,0.745484671141216,0.897,0.841,0.10586832475274
Ahnak,7.87490713874015e-06,0.766417018170302,0.793,0.413,0.115808384382313
Mgst1,1.1267422040048e-05,0.54161241595807,0.379,0.071,0.165698708520946
Fabp5,1.27947338275449e-05,0.959124141482761,0.552,0.19,0.188159355667875
Pou2f2,1.3601628081881e-05,-0.823190985505246,0.207,0.667,0.200025542572142
Wnk1,1.45412268052891e-05,-0.765200305920602,0.448,0.762,0.213843281398582
Msr1,1.64329529956216e-05,0.581730094818684,0.69,0.286,0.241663006753611
Ndrg1,1.7675477046149e-05,0.612060097449332,0.552,0.183,0.259935565440667
Pdpn,1.86594304560256e-05,0.588362461747849,0.552,0.183,0.274405584286312
Iglc2,2.17141241901094e-05,-0.690750664949615,0.034,0.484,0.319327910339749
Il1rn,2.52216820538165e-05,0.526466133013011,0.586,0.19,0.370910056283425
Car5b,2.65437380527736e-05,0.127264956052659,0.138,0,0.390352211804089
Bnip3,2.93571491862992e-05,0.615765700646769,0.517,0.183,0.431726235933716
Cst3,2.9463667872287e-05,-0.540191526639723,1,1,0.433292699729853
Pfkl,2.95623573767058e-05,0.497197712201105,0.517,0.175,0.434744027581836
Agpat3,3.48539813410638e-05,0.176935120809561,0.172,0.008,0.512562649601685
Tmem176a,3.65725534729188e-05,-1.04101726062216,0.379,0.746,0.537835971372743
Hmgb2,4.03108878240981e-05,-0.838769795910748,0.31,0.683,0.592811916341187
Ankrd37,4.37372729165695e-05,0.650403474036778,0.241,0.032,0.64320033551107
Kctd3,4.4215265898655e-05,0.153169839529474,0.172,0.008,0.650229700305621
Hbb-bs,4.94576338690515e-05,0.734235934732325,0.897,0.563,0.727323963678272
Serinc3,4.95352961183271e-05,-0.748565584590223,0.621,0.857,0.728466064716119
Lgals3,5.14115671233217e-05,0.525114866064783,1,0.976,0.756058506115569
Slc7a2,5.23546643312161e-05,0.428818609794509,0.31,0.056,0.769927693654864
Actn1,6.86941939289426e-05,0.68696006428638,0.621,0.31,1
Spi1,7.25762270140752e-05,-0.539216461105422,0.793,0.944,1
S100a6,8.13849888612313e-05,0.666573374375172,0.897,0.77,1
Anxa2,9.08480810582062e-05,1.0115066778514,0.862,0.81,1
Tagln2,9.64034938462718e-05,0.518033713233969,0.931,0.833,1
Ier2,0.000109298736752902,-1.08181016634886,0.552,0.794,1
Mpdu1,0.000110193914054515,0.313030188320564,0.414,0.111,1
Slc2a1,0.000110341838272814,0.439877533479476,0.414,0.119,1
Ctsd,0.000121715446570625,0.485740393017444,1,0.976,1
Atox1,0.000128643708227994,-0.494598816208892,0.931,0.96,1
Tfpt,0.000130807218201062,0.255181191182012,0.379,0.095,1
Tpgs2,0.000148580215658975,0.300062960098909,0.31,0.063,1
2610524H06Rik,0.000149285789269257,0.23450247876268,0.207,0.024,1
Cd81,0.000156964846763377,-0.647247873750376,0.862,0.921,1
Eef1a1,0.000157838806507271,-0.346218070300888,1,0.984,1
Cd52,0.000163747781786278,-0.492750746860875,0.931,0.992,1
Bhlhe40,0.000164991605208377,0.481405579216684,0.241,0.04,1
Mamdc2,0.000178573879234255,0.356377030616943,0.241,0.04,1
