cluster	gene	PHD2cKO_p_val	PHD2cKO_avg_logFC	PHD2cKO_pct.1	PHD2cKO_pct.2	PHD2cKO_p_val_adj	WT_p_val	WT_avg_logFC	WT_pct.1	WT_pct.2	WT_p_val_adj	max_pval	minimump_p_val
1	Adgre1	1.89207570217194e-133	1.50134284098981	0.761	0.064	2.78248652761405e-129	1.00109158068616e-241	1.8913949187508	0.888	0.062	1.47220527855707e-237	1.89207570217194e-133	2.00218316137228e-241
1	C1qc	8.9685972724576e-179	3.25096646557375	0.934	0.124	1.31892191488761e-174	2.13855474817475e-239	3.30312908643268	0.953	0.177	3.14495861266579e-235	8.9685972724576e-179	4.27710949634941e-239
1	C1qa	3.79323465610372e-174	3.53547265408873	0.925	0.137	5.57833088526613e-170	1.80469193799768e-227	3.55558591331833	0.946	0.22	2.65397996401939e-223	3.79323465610372e-174	3.60938387599512e-227
1	C1qb	2.32852342172746e-175	3.41931394161739	0.937	0.151	3.4243265439924e-171	5.42974099266453e-227	3.34204404429573	0.972	0.274	7.98497710381245e-223	2.32852342172746e-175	1.08594819853287e-226
1	C3ar1	3.56338542201714e-142	1.51160898041818	0.713	0.029	5.24031460161841e-138	7.74922130257274e-227	1.55541678443361	0.81	0.036	1.13960048475635e-222	3.56338542201714e-142	1.54984426051447e-226
1	Ms4a7	4.47340705307819e-149	2.39787475216815	0.746	0.037	6.57859241225679e-145	2.06355907139817e-221	2.71320949523166	0.819	0.059	3.03466997039815e-217	4.47340705307819e-149	4.12711814279624e-221
1	Csf1r	3.08283628340615e-143	1.7886036878915	0.851	0.116	4.53361903837708e-139	1.65230965747262e-219	1.89626525359229	0.922	0.131	2.42988658227924e-215	3.08283628340615e-143	3.30461931494531e-219
1	Ctsc	6.41828281061703e-152	2.20292407687721	0.961	0.264	9.4387267012934e-148	4.15486912645334e-216	2.32177117596232	0.976	0.275	6.11015053736228e-212	6.41828281061703e-152	8.3097382529069e-216
1	Fcgr3	7.93119612198972e-159	1.94544245993714	0.922	0.131	1.16636170169981e-154	2.44385437712012e-215	1.8602053080523	0.929	0.134	3.59393224699286e-211	7.93119612198972e-159	4.88770875424026e-215
1	Ly86	5.72699529548338e-126	1.51827512712074	0.857	0.141	8.42211928153786e-122	2.3430611532093e-210	1.70612483025539	0.92	0.13	3.4457057319096e-206	5.72699529548338e-126	4.68612230641859e-210
1	Fcrls	5.37622347457351e-163	2.18210302863294	0.746	0.012	7.9062742417078e-159	1.00061912441986e-203	2.07682996927193	0.744	0.037	1.47151048437184e-199	5.37622347457351e-163	2.00123824883973e-203
1	C5ar1	7.80292009984978e-139	1.84059881855649	0.812	0.091	1.14749742988391e-134	4.18920276186513e-201	1.67398278647606	0.849	0.084	6.16064158159886e-197	7.80292009984978e-139	8.3784055237304e-201
1	Aif1	7.50834069845951e-102	1.21670188346044	0.654	0.067	1.10417658311546e-97	5.58243050912991e-196	1.53256281148519	0.821	0.077	8.20952230672644e-192	7.50834069845951e-102	1.11648610182596e-195
1	Trem2	1.06012556927214e-131	1.83267230160349	0.684	0.037	1.55902066217161e-127	1.69618221801833e-192	1.64529668560275	0.756	0.055	2.49440556981776e-188	1.06012556927214e-131	3.39236443603671e-192
1	Pld4	2.19284625465184e-99	1.21848037683602	0.764	0.131	3.22479970209099e-95	8.25538441231849e-192	1.44956059379707	0.892	0.13	1.21403683167556e-187	2.19284625465184e-99	1.65107688246369e-191
1	Cyth4	1.50837680865198e-101	1.22062184429567	0.758	0.135	2.2182189348036e-97	2.08969424593927e-189	1.41553401127285	0.881	0.128	3.07310435807829e-185	1.50837680865198e-101	4.17938849187851e-189
1	Fcgr2b	1.66956205985826e-146	1.82201723030144	0.848	0.109	2.45525796522756e-142	3.4304092458634e-189	1.5906697159496	0.841	0.111	5.04475983696672e-185	1.66956205985826e-146	6.86081849172701e-189
1	Ctss	4.63514348823423e-140	2.01168081268442	0.976	0.257	6.81644201379726e-136	4.70071538635993e-185	1.83863196546145	0.985	0.28	6.91287204718091e-181	4.63514348823423e-140	9.40143077271968e-185
1	Cd14	8.24123355349074e-115	1.70588743968091	0.776	0.125	1.21195580637635e-110	1.91350985731019e-183	1.84201041796216	0.873	0.154	2.81400759616037e-179	8.24123355349074e-115	3.82701971462045e-183
1	Unc93b1	6.61587628035654e-109	1.39747246483575	0.872	0.257	9.72930765789233e-105	6.00225577541595e-183	1.5410963916452	0.94	0.256	8.82691734332669e-179	6.61587628035654e-109	1.20045115508318e-182
1	Cd68	5.72927320027495e-134	1.63862890996073	0.851	0.126	8.42546916832434e-130	4.92212631889397e-179	1.44214378281197	0.905	0.16	7.23847896456547e-175	5.72927320027495e-134	9.84425263778813e-179
1	Laptm5	1.3468872780441e-106	1.26832709262837	0.928	0.23	1.98073243109165e-102	3.99224795972342e-178	1.44863410403799	0.978	0.222	5.87099984956927e-174	1.3468872780441e-106	7.98449591944691e-178
1	Rgs10	2.30965186200626e-115	1.38225971861887	0.857	0.212	3.3965740282664e-111	5.55816643486535e-178	1.45744383101224	0.916	0.252	8.17383955911298e-174	2.30965186200626e-115	1.11163328697306e-177
1	Mrc1	6.6391899750571e-143	1.92474439082555	0.687	0.019	9.76359277731897e-139	1.17559454878921e-171	1.84185643692772	0.627	0.019	1.72882934344942e-167	6.6391899750571e-143	2.35118909757841e-171
1	Fcer1g	1.28240949530176e-128	1.6054199364966	0.979	0.234	1.88591140379076e-124	2.75094344379907e-169	1.55460753565976	0.989	0.284	4.04553742845091e-165	1.28240949530176e-128	5.50188688759823e-169
1	Fyb	3.31292075359399e-86	1.03716027619736	0.767	0.157	4.87198126023532e-82	8.13357489975394e-169	1.2718952719695	0.853	0.125	1.19612352475781e-164	3.31292075359399e-86	1.62671497995075e-168
1	P2ry6	1.59576003077194e-102	1.19801958991119	0.666	0.088	2.34672470125322e-98	4.75064090319045e-167	1.29116892774712	0.812	0.142	6.98629251223188e-163	1.59576003077194e-102	9.50128180638082e-167
