cluster	gene	PHD2cKO_p_val	PHD2cKO_avg_logFC	PHD2cKO_pct.1	PHD2cKO_pct.2	PHD2cKO_p_val_adj	WT_p_val	WT_avg_logFC	WT_pct.1	WT_pct.2	WT_p_val_adj	max_pval	minimump_p_val
2	Aqp7	1.11680419608055e-171	2.30243256845198	0.806	0.025	1.64237225075605e-167	2.24589570789217e-267	2.35079481701759	0.864	0.01	3.30281422802623e-263	1.11680419608055e-171	4.49179141578407e-267
2	Cldn5	1.61004905445909e-166	2.8994378468526	0.806	0.03	2.36773813948754e-162	2.43891398615713e-262	3.18253695256404	0.961	0.029	3.58666690804267e-258	1.61004905445909e-166	4.87782797231401e-262
2	Tcf15	3.44439664078701e-149	2.17523208362282	0.801	0.05	5.06532969994138e-145	1.46862111355801e-232	2.73572668771532	0.89	0.032	2.15975420959841e-228	3.44439664078701e-149	2.937242227116e-232
2	Cdh5	5.00140811376703e-170	2.29184461730945	0.91	0.062	7.3550707721058e-166	4.52241551575148e-232	2.3191405103085	0.929	0.037	6.65066425746413e-228	5.00140811376703e-170	9.04483103150238e-232
2	Gpihbp1	8.40394913799715e-188	3.26773148588178	0.96	0.066	1.23588476023386e-183	1.31033218889779e-226	3.4560029975902	0.955	0.053	1.92697451699309e-222	8.40394913799715e-188	2.6206643777955e-226
2	C1qtnf9	7.60452352916591e-161	2.06778637710871	0.856	0.051	1.11832123019914e-156	1.08710136670121e-219	2.27625213009047	0.851	0.029	1.59869126987079e-215	7.60452352916591e-161	2.17420273340247e-219
2	Car4	2.76788451445553e-158	2.43148600172662	0.746	0.022	4.0704509669583e-154	3.58139672807621e-208	2.47802489921501	0.708	0.012	5.26680202830887e-204	2.76788451445553e-158	7.16279345615253e-208
2	Egfl7	2.39341039417432e-155	2.0994766057147	0.925	0.085	3.51974932567275e-151	9.96824057370591e-208	2.38616889404733	0.942	0.057	1.46592945876919e-203	2.39341039417432e-155	1.99364811474123e-207
2	Emcn	3.75083148297075e-138	1.95286446319405	0.831	0.069	5.51597277885679e-134	2.73090276339703e-199	2.16202440264413	0.838	0.036	4.01606560385167e-195	3.75083148297075e-138	5.461805526794e-199
2	Ushbp1	4.27262606577873e-139	1.77858739671209	0.751	0.043	6.28332389233421e-135	4.31291994194099e-199	1.76722727035586	0.766	0.025	6.34258006661842e-195	4.27262606577873e-139	8.62583988388206e-199
2	Cd300lg	6.91554031682678e-152	2.34525218395548	0.856	0.075	1.01699935899255e-147	2.24182581494613e-192	2.44155297106252	0.87	0.055	3.29682904345978e-188	6.91554031682678e-152	4.4836516298922e-192
2	Kdr	1.09441516445007e-120	1.74145671049557	0.672	0.04	1.60944694084028e-116	2.08732809758636e-191	1.96245073856824	0.734	0.023	3.0696247003105e-187	1.09441516445007e-120	4.17465619517273e-191
2	Adgrl4	5.51027058404066e-144	1.85306765820922	0.791	0.048	8.10340392089019e-140	1.39715249165012e-189	1.8943143721888	0.766	0.028	2.05465245422066e-185	5.51027058404066e-144	2.7943049833002e-189
2	Esam	3.28075074829059e-145	2.14297497875174	0.92	0.11	4.82467205043614e-141	3.93147699452836e-187	2.34621363277452	0.909	0.068	5.78163006815341e-183	3.28075074829059e-145	7.86295398905674e-187
2	Rgcc	3.72661943001363e-154	2.69822401087238	0.886	0.088	5.48036653377805e-150	2.3654976959287e-180	2.7895203143762	0.89	0.073	3.47870091163274e-176	3.72661943001363e-154	4.73099539185752e-180
2	Cyyr1	4.90811918085669e-127	1.73970953871059	0.726	0.051	7.21788006736785e-123	8.57098276028234e-175	1.73223191973097	0.695	0.024	1.26044872472712e-170	4.90811918085669e-127	1.7141965520565e-174
2	Btnl9	3.46093993046239e-146	1.9181412273109	0.657	0.009	5.089658261738e-142	1.94209302888549e-174	1.67418367327193	0.565	0.005	2.85604200827901e-170	3.46093993046239e-146	3.88418605777091e-174
2	Flt1	2.39633322037219e-141	1.99776459882507	0.871	0.089	3.52404763387934e-137	2.68421381874755e-173	2.0868302390937	0.851	0.063	3.94740484185014e-169	2.39633322037219e-141	5.36842763749512e-173
2	Tmem88	4.63996700428028e-110	1.57144944297398	0.642	0.044	6.82353547649458e-106	2.37889156815823e-171	1.76130616309284	0.714	0.03	3.49839794013349e-167	4.63996700428028e-110	4.75778313631638e-171
2	Timp4	2.59022760030966e-138	2.43074768373531	0.721	0.037	3.80918870901538e-134	1.14035019788884e-160	2.23323785491706	0.76	0.049	1.67699900101533e-156	2.59022760030966e-138	2.28070039577774e-160
2	Adgrf5	3.46829972703339e-117	1.65649727336912	0.736	0.066	5.1004815785753e-113	6.43158992646709e-160	1.68319825588202	0.714	0.035	9.4582961458625e-156	3.46829972703339e-117	1.28631798529345e-159
2	Cyp4b1	1.51627568325591e-120	1.82191593232331	0.701	0.05	2.22983501979614e-116	4.46508519185388e-159	1.89805288240977	0.688	0.032	6.56635428314031e-155	1.51627568325591e-120	8.93017038370796e-159
2	Cavin2	6.60478877616389e-139	2.36655954929983	0.955	0.165	9.71300237422662e-135	1.49309962803708e-154	2.67295635573664	0.968	0.143	2.19575231299133e-150	6.60478877616389e-139	2.98619925607417e-154
2	Cd36	3.9268369507104e-141	2.74290828099686	0.995	0.217	5.77480641971471e-137	1.00984168864994e-150	3.04692670341644	0.987	0.171	1.4850731873286e-146	3.9268369507104e-141	2.01968337729992e-150
2	Tie1	2.18951575643202e-114	1.47303074820686	0.672	0.048	3.21990187140893e-110	4.77240454325473e-149	1.51988724913927	0.662	0.032	7.0182981213104e-145	2.18951575643202e-114	9.5448090865097e-149
2	Tspan7	2.86544834476412e-84	1.52718469398231	0.662	0.097	4.21392833581012e-80	5.55685298600806e-149	2.03792518327579	0.883	0.103	8.17190800122345e-145	2.86544834476412e-84	1.1113705972016e-148
2	Rasip1	5.21028680497041e-114	1.56381802108522	0.687	0.054	7.66224777538949e-110	8.66260162682104e-149	1.65818088176258	0.636	0.028	1.2739221952403e-144	5.21028680497041e-114	1.73252032536423e-148
2	Mgll	1.41140763963991e-148	2.40536447415311	0.93	0.129	2.07561607485445e-144	2.71884441109408e-134	2.32334931661461	0.909	0.155	3.99833259095495e-130	2.71884441109408e-134	2.82281527927986e-148
2	8430408G22Rik	1.43221561398479e-108	2.19938095321746	0.637	0.04	2.10621628192604e-104	9.85765430316589e-147	2.15724285736385	0.617	0.025	1.44966664182358e-142	1.43221561398479e-108	1.97153086063317e-146
2	Sox18	2.9161252733712e-119	1.69068701317464	0.701	0.052	4.28845382701969e-115	1.20753566640224e-146	1.55145563940503	0.61	0.023	1.77580195101114e-142	2.9161252733712e-119	2.41507133280447e-146
2	Unc45b	1.01380342747823e-98	1.51824084758449	0.612	0.052	1.49089932044948e-94	4.80928587987525e-145	1.54703147404728	0.669	0.037	7.07253581494454e-141	1.01380342747823e-98	9.6185717597503e-145
2	Cav1	1.37500213249638e-139	2.48800032829751	0.98	0.216	2.02207813604918e-135	1.17502204771602e-133	2.6822985568258	0.987	0.22	1.72798742337118e-129	1.17502204771602e-133	2.75000426499275e-139
2	Sparcl1	1.09874104899842e-136	2.24568530363436	0.935	0.143	1.61580858665708e-132	9.10841025473534e-133	2.00036330049523	0.909	0.126	1.33948281206138e-128	9.10841025473534e-133	2.19748209799685e-136
2	Tcim	7.52884626729521e-111	1.58028552021419	0.622	0.037	1.10719213206843e-106	6.15360320912608e-136	1.87157916398223	0.649	0.041	9.04948887934082e-132	7.52884626729521e-111	1.23072064182522e-135
2	Rflnb	2.79583973351575e-125	1.83495231616339	0.761	0.068	4.11156191210827e-121	3.10352097413587e-135	1.98175247318206	0.76	0.075	4.56403794456421e-131	2.79583973351575e-125	6.20704194827171e-135
2	Thrsp	1.36908393971502e-134	1.63084985079341	0.637	0.014	2.01337484174491e-130	1.14153116086763e-123	1.41829413694251	0.526	0.021	1.67873572517194e-119	1.14153116086763e-123	2.73816787943006e-134
2	Ly6c1	9.48157203166729e-127	2.50298089719891	0.99	0.275	1.39435998297699e-122	4.11975859726734e-132	2.88494319625845	1	0.24	6.05851699314135e-128	9.48157203166729e-127	8.23951719453487e-132
2	Gimap6	1.39802118725954e-88	1.50127894360449	0.761	0.133	2.05592995798388e-84	2.08362326968694e-129	1.78557176898578	0.753	0.075	3.06417638040162e-125	1.39802118725954e-88	4.16724653937389e-129
2	Id1	7.15738935331196e-129	2.20952417471388	0.866	0.122	1.05256567829806e-124	6.38740941733681e-96	2.09247953621169	0.857	0.205	9.39332428913551e-92	6.38740941733681e-96	1.43147787066239e-128
2	Kank3	8.23771171830796e-109	1.68217635444902	0.736	0.087	1.21143788529437e-104	1.35742115664991e-126	1.92162513299698	0.76	0.086	1.99622355296936e-122	8.23771171830796e-109	2.71484231329986e-126
2	Fabp4	4.90323562211086e-126	3.24532973526288	1	0.34	7.21069830587623e-122	4.7735768210731e-118	3.97853519021868	0.994	0.31	7.02002207307011e-114	4.7735768210731e-118	9.80647124422168e-126
2	Tinagl1	8.49248556744528e-100	1.71128020024687	0.771	0.115	1.2489049275485e-95	1.22381577668145e-124	1.79763517468522	0.818	0.101	1.79974348118774e-120	8.49248556744528e-100	2.44763155336296e-124
2	Slc26a10	3.68754553077178e-92	1.31495579809282	0.433	0.006	5.42290445755298e-88	1.71997148381736e-124	1.37523753997829	0.435	0.007	2.5293900641018e-120	3.68754553077178e-92	3.43994296763468e-124
2	Adgrg1	3.46402596022411e-86	1.30775970225708	0.537	0.043	5.09419657710557e-82	1.75574122928497e-123	1.27408103282054	0.539	0.023	2.58199305178648e-119	3.46402596022411e-86	3.51148245856998e-123
2	Slc9a3r2	2.0329330260985e-120	1.99325659527422	0.846	0.137	2.98963130818045e-116	4.85949134222909e-123	2.07027190254615	0.87	0.149	7.14636796788211e-119	2.0329330260985e-120	9.71898268445836e-123
2	Lims2	3.10443124314907e-119	1.95599925016377	0.871	0.16	4.56537658617502e-115	5.37589964944034e-123	2.02237475023674	0.896	0.16	7.90579802446696e-119	3.10443124314907e-119	1.0751799298881e-122
2	Podxl	3.04003978576994e-54	1.00569146226086	0.398	0.04	4.47068250895327e-50	1.97645335933019e-122	1.37485876489654	0.526	0.021	2.90657231023098e-118	3.04003978576994e-54	3.95290671866045e-122
2	Rbp7	1.72426112355584e-121	2.45249217092563	0.617	0.024	2.53569840830121e-117	8.61524270738892e-118	1.97048647616695	0.416	0.007	1.26695759254862e-113	8.61524270738892e-118	3.44852224711173e-121
2	Afap1l1	7.60160571084163e-75	1.20628577806889	0.483	0.04	1.11789213583637e-70	7.09496065208746e-120	1.21309557607963	0.506	0.02	1.04338491349598e-115	7.60160571084163e-75	1.4189921304175e-119
2	Palmd	5.85981498946191e-75	1.2382551880911	0.478	0.037	8.61744392350268e-71	5.14611053024092e-118	1.37049771979249	0.532	0.026	7.5678701457723e-114	5.85981498946191e-75	1.02922210604818e-117
2	Cav2	2.80991980519052e-117	2.14938795747796	0.92	0.229	4.13226806551317e-113	1.74865872441294e-112	2.19995237562712	0.968	0.287	2.57157752012167e-108	1.74865872441294e-112	5.61983961038106e-117
2	Clic5	2.33026871794669e-80	1.04909611674849	0.398	0.009	3.4268931766124e-76	1.66723831318026e-116	1.17321263475225	0.422	0.008	2.45184066336289e-112	2.33026871794669e-80	3.33447662636055e-116
2	Ecscr	5.8928068780192e-73	1.26313310292277	0.617	0.085	8.66596179481503e-69	3.71535159121798e-116	1.487060134878	0.662	0.056	5.46379605004516e-112	5.8928068780192e-73	7.43070318243592e-116
2	Pecam1	1.87633444657524e-115	1.7070185025902	0.925	0.162	2.75933743713354e-111	3.08611868285088e-105	1.83118627058104	0.883	0.178	4.5384461350005e-101	3.08611868285088e-105	3.75266889315053e-115
2	Myct1	1.10538710163817e-101	1.47382979145853	0.637	0.054	1.6255822716691e-97	1.62381031342983e-114	1.25362772921058	0.552	0.03	2.38797544692991e-110	1.10538710163817e-101	3.24762062685966e-114
2	S1pr1	6.36543716726182e-82	1.59586895446455	0.726	0.159	9.36101189817524e-78	2.33898398185782e-113	1.72046195060236	0.766	0.105	3.43970984372011e-109	6.36543716726182e-82	4.67796796371565e-113
2	Gimap4	4.2070720601895e-48	0.992687711489856	0.542	0.111	6.18692017171468e-44	1.08771868830793e-110	1.32038773428524	0.597	0.043	1.59959910302564e-106	4.2070720601895e-48	2.17543737661587e-110
2	Kcna5	2.733488273287e-86	1.32052414878229	0.473	0.022	4.01986785469586e-82	1.6384129246219e-110	1.07129906605034	0.435	0.012	2.40945004694896e-106	2.733488273287e-86	3.27682584924382e-110
2	Mmrn2	4.04878242719356e-86	1.33244792996234	0.602	0.059	5.95413943743085e-82	3.27097105592813e-110	1.36387836298301	0.571	0.037	4.81029003484791e-106	4.04878242719356e-86	6.54194211185628e-110
2	Gm32688	4.4239343879523e-50	0.879592525404982	0.294	0.015	6.50583791092265e-46	6.48778872075672e-110	1.07276145920397	0.429	0.012	9.54094209274484e-106	4.4239343879523e-50	1.29755774415134e-109
2	Gng11	8.51213422646814e-106	2.17854857577402	0.92	0.262	1.2517944593444e-101	2.51838229824555e-109	2.48467738028811	0.948	0.267	3.7035330077999e-105	8.51213422646814e-106	5.03676459649107e-109
2	Tspan13	1.55566564969259e-100	1.99778729251296	0.881	0.25	2.28776190443792e-96	3.18095252323268e-109	2.23597491196976	0.935	0.243	4.67790878066598e-105	1.55566564969259e-100	6.36190504646536e-109
