cluster	gene	PHD2cKO_p_val	PHD2cKO_avg_logFC	PHD2cKO_pct.1	PHD2cKO_pct.2	PHD2cKO_p_val_adj	WT_p_val	WT_avg_logFC	WT_pct.1	WT_pct.2	WT_p_val_adj	max_pval	minimump_p_val
3	Napsa	1.25781029632596e-91	1.58693961667415	0.746	0.075	1.84973582177696e-87	2.0416483623515e-144	1.70759903585707	0.756	0.067	3.00244808167411e-140	1.25781029632596e-91	4.08329672470308e-144
3	Mcemp1	1.87337488321425e-90	1.30833646533793	0.525	0.021	2.75498510325487e-86	8.91644439981081e-128	1.30243028585851	0.506	0.016	1.31125231343618e-123	1.87337488321425e-90	1.78328887996217e-127
3	Cytip	5.63582701854796e-62	1.15495467604444	0.72	0.12	8.28804721347663e-58	3.27396166306523e-97	1.24137857928388	0.699	0.106	4.81468802170373e-93	5.63582701854796e-62	6.54792332613056e-97
3	Gpr141	3.10256812636326e-68	0.788111197932582	0.39	0.014	4.56263668662981e-64	2.51018945621085e-96	0.974646620753423	0.369	0.01	3.69148461430368e-92	3.10256812636326e-68	5.0203789124217e-96
3	Sirpb1c	6.55782378005907e-42	1.00893111943357	0.424	0.053	9.64393565095487e-38	2.08337019458892e-94	1.3155628563863	0.523	0.046	3.06380420816246e-90	6.55782378005907e-42	4.1667403891778e-94
3	Itgb7	5.46428945782405e-29	0.380643246219157	0.398	0.064	8.03578407667605e-25	6.47079087800751e-90	1.0123378954399	0.494	0.039	9.51594506519784e-86	5.46428945782405e-29	1.2941581756015e-89
3	Gm9733	4.31136083463844e-61	0.65260561586641	0.28	0.003	6.3402872434193e-57	1.48856862284263e-84	0.718087777886366	0.284	0.003	2.18908901675237e-80	4.31136083463844e-61	2.97713724568523e-84
3	Ms4a4c	1.73845669422889e-29	0.993337191276601	0.373	0.061	2.55657441453301e-25	3.41517430831713e-83	1.30477022853469	0.483	0.044	5.02235533781117e-79	1.73845669422889e-29	6.83034861663432e-83
3	Coro1a	3.3484024785867e-59	1.40131365266495	0.975	0.331	4.9241606850096e-55	1.55794260608375e-82	1.46310691334321	0.949	0.347	2.29111039650676e-78	3.3484024785867e-59	3.11588521216754e-82
3	Mmp8	5.55243179266217e-80	1.80488033400601	0.356	0.003	8.16540619428898e-76	4.88953981146182e-48	0.957340013934467	0.165	0.002	7.19055724673575e-44	4.88953981146182e-48	1.11048635853243e-79
3	Fgr	5.85863401882379e-68	1.12664614137494	0.576	0.058	8.61570718808227e-64	1.39569662312178e-78	1.00991982295023	0.557	0.075	2.05251145396288e-74	5.85863401882379e-68	2.79139324624355e-78
3	Cd300a	3.69672235373026e-51	1.20496212377284	0.695	0.148	5.43639989339573e-47	1.92774888734449e-77	1.39177389054856	0.733	0.174	2.8349475137288e-73	3.69672235373026e-51	3.85549777468898e-77
3	Ifitm6	4.2729351612143e-49	1.78385064102538	0.585	0.104	6.28377844808174e-45	6.43435532482376e-77	1.67430585087197	0.545	0.074	9.46236294068582e-73	4.2729351612143e-49	1.28687106496475e-76
3	Cd52	1.44240817015278e-50	1.31792590053084	0.975	0.389	2.12120545502668e-46	9.29324616639964e-73	1.3697582818351	0.972	0.38	1.36666478123073e-68	1.44240817015278e-50	1.85864923327995e-72
3	Pglyrp1	5.42175873696633e-64	2.16072406911017	0.483	0.039	7.97323839858268e-60	1.14568267451161e-72	1.85382225089607	0.375	0.027	1.68484094113677e-68	5.42175873696633e-64	2.29136534902322e-72
3	Tyrobp	2.2924225407884e-57	1.50626065266626	0.992	0.377	3.37123658848342e-53	1.21037805873327e-72	1.4254703776438	1	0.439	1.77998197317314e-68	2.2924225407884e-57	2.42075611746651e-72
3	Plac8	1.83097665959228e-44	2.25324924914321	0.619	0.128	2.6926342755964e-40	2.480370502274e-72	2.6814374636763	0.574	0.099	3.64763286064415e-68	1.83097665959228e-44	4.960741004548e-72
3	Cd244	6.12954955423923e-66	0.787166271639995	0.432	0.024	9.01411557446422e-62	1.48651445478085e-69	0.698299752542474	0.375	0.029	2.18606815720072e-65	6.12954955423923e-66	2.97302890956174e-69
3	Spi1	1.44005030136144e-50	1.2661613967441	0.881	0.286	2.11773797318213e-46	4.64581872633776e-68	1.10159938200014	0.932	0.331	6.83214101895231e-64	1.44005030136144e-50	9.29163745267551e-68
3	H3f3a	9.85434423473297e-36	0.876433118329687	0.975	0.873	1.44917986315983e-31	1.31443752413334e-67	0.886278780723025	1	0.912	1.93301182299049e-63	9.85434423473297e-36	2.6288750482667e-67
3	Itgal	1.90071215996882e-61	1.17205192889999	0.39	0.02	2.79518730245015e-57	4.13292470815309e-67	1.02151639003424	0.318	0.018	6.07787907580994e-63	1.90071215996882e-61	8.26584941630617e-67
3	Samsn1	1.84910562202557e-49	1.13055201301039	0.602	0.103	2.7192947277508e-45	9.4703339290588e-67	1.44694912431868	0.545	0.093	1.39270730760739e-62	1.84910562202557e-49	1.89406678581174e-66
3	Clec4e	4.63349087311613e-53	1.20528452298355	0.424	0.036	6.81401167800458e-49	1.65056612732833e-66	1.34187890436668	0.364	0.029	2.42732254684905e-62	4.63349087311613e-53	3.30113225465663e-66
3	Ly6c2	2.70183599710596e-50	1.1062931575655	0.381	0.028	3.97332001734402e-46	1.34531244779839e-65	1.60942777579876	0.318	0.018	1.97841648573231e-61	2.70183599710596e-50	2.69062489559676e-65
3	Lsp1	3.23636934563853e-37	1.15831333772429	0.89	0.436	4.75940475969602e-33	1.6078121950351e-64	1.38935543110618	0.932	0.49	2.36444861401862e-60	3.23636934563853e-37	3.21562439007019e-64
3	Ifitm1	1.68536121602794e-54	2.57493153770987	0.398	0.029	2.47849220429069e-50	2.0228608670938e-64	2.08795651975851	0.341	0.025	2.97481919114815e-60	1.68536121602794e-54	4.04572173418761e-64
3	Arhgdib	2.55072315680865e-33	0.979014903232138	0.898	0.439	3.7510934744028e-29	1.89114859948297e-63	1.15640472149556	0.966	0.436	2.78112313039965e-59	2.55072315680865e-33	3.78229719896593e-63
3	Treml4	8.8817863160542e-22	0.360099356228794	0.136	0.007	1.30615549563893e-17	1.13824142649108e-62	0.718183517043287	0.216	0.003	1.67389784179778e-58	8.8817863160542e-22	2.27648285298215e-62
3	Chil3	1.42572117209968e-43	2.5979468374698	0.339	0.028	2.09666555568979e-39	9.31127546927388e-62	1.96103223593325	0.278	0.013	1.36931617051142e-57	1.42572117209968e-43	1.86225509385476e-61
