cluster	gene	PHD2cKO_p_val	PHD2cKO_avg_logFC	PHD2cKO_pct.1	PHD2cKO_pct.2	PHD2cKO_p_val_adj	WT_p_val	WT_avg_logFC	WT_pct.1	WT_pct.2	WT_p_val_adj	max_pval	minimump_p_val
7	Cd3e	5.54887317146164e-190	2.19520656571612	0.791	0.002	8.16017288595149e-186	9.50873504062336e-303	2.42669160360151	0.952	0.001	1.39835457507407e-298	5.54887317146164e-190	1.9017470081246e-302
7	Cd3g	8.93477763487838e-215	2.70295996995173	0.907	0.003	1.31394839898521e-210	2.17407441117091e-290	3.0513486566149	0.952	0.002	3.19719382906794e-286	8.93477763487838e-215	4.34814882234171e-290
7	Trac	3.32089555716489e-177	2.39943510430196	0.86	0.008	4.88370900636668e-173	3.66939441861704e-262	3.09101714613711	0.905	0.003	5.39621143201822e-258	3.32089555716489e-177	7.338788837234e-262
7	Lat	9.38950826327576e-173	1.87169309036691	0.744	0.003	1.38082108519733e-168	5.095834364931e-241	2.21490702266116	0.81	0.002	7.49393401706753e-237	9.38950826327576e-173	1.01916687298617e-240
7	Cxcr6	8.22292186603557e-83	1.83318010063705	0.349	0.001	1.20926288961919e-78	2.55051717618743e-224	2.3831218928588	0.762	0.002	3.75079055930123e-220	8.22292186603557e-83	5.10103435237448e-224
7	Cd3d	1.4595923151742e-223	2.56724095161244	0.977	0.004	2.14647645869517e-219	8.233058147478e-224	2.51455568921387	0.905	0.005	1.21075353116811e-219	1.4595923151742e-223	1.64661162949556e-223
7	Trbc2	4.33899948461963e-205	2.99056589517559	0.907	0.004	6.38093264208163e-201	1.21325932582894e-208	3.19636125182771	0.905	0.006	1.78421916456404e-204	4.33899948461963e-205	2.42651865165795e-208
7	Bcl11b	9.72372643467736e-108	1.30570267451684	0.488	0.003	1.42997120948365e-103	3.53826695003944e-192	1.69312860610017	0.667	0.002	5.203375376728e-188	9.72372643467736e-108	7.07653390007874e-192
7	Trbc1	2.27195281617695e-103	2.24229186032608	0.488	0.004	3.34113381146983e-99	1.99361094314146e-187	2.74737260425942	0.714	0.003	2.93180425298383e-183	2.27195281617695e-103	3.98722188628292e-187
7	Lck	1.1546310787237e-147	1.95824112665371	0.814	0.012	1.69800046437107e-143	2.30161957482564e-178	2.11080241389718	0.762	0.005	3.38476174673858e-174	1.1546310787237e-147	4.60323914965129e-178
7	Skap1	2.09877559298909e-125	1.32883866332143	0.558	0.003	3.08645938704976e-121	6.79198716488733e-168	1.55132929831264	0.524	0.001	9.98829632468331e-164	2.09877559298909e-125	1.35839743297749e-167
7	Ptprcap	1.04293108292356e-78	1.78747624563289	0.767	0.04	1.53373445054739e-74	5.54948418050346e-157	2.33302414331135	1	0.016	8.16107143584839e-153	1.04293108292356e-78	1.1098968361007e-156
7	Ctsw	2.42028937298874e-82	1.572734895471	0.419	0.004	3.55927755191724e-78	2.68677880148005e-134	1.47412030559316	0.524	0.003	3.95117690545656e-130	2.42028937298874e-82	5.37355760296014e-134
7	Itk	2.32042764907984e-66	0.853163363254611	0.302	0.002	3.41242090073681e-62	1.80344965198077e-133	0.79640376962532	0.381	0	2.65215305820291e-129	2.32042764907984e-66	3.6068993039615e-133
7	Nkg7	1.01276607814484e-131	2.82386031206106	0.651	0.006	1.4893737945198e-127	4.29584289599602e-90	3.12697134207569	0.429	0.004	6.31746656285174e-86	4.29584289599602e-90	2.0255321562897e-131
7	Ms4a4b	5.45942785613608e-131	2.73102821897238	0.86	0.023	8.02863460523371e-127	1.55654315841593e-75	2.64905783772397	0.571	0.013	2.28905236876647e-71	1.55654315841593e-75	1.09188557122719e-130
7	Txk	2.37187798687485e-69	0.971437620161175	0.349	0.004	3.48808376749815e-65	2.00555616596619e-112	1.09409795115046	0.429	0.002	2.94937089766988e-108	2.37187798687485e-69	4.01111233193231e-112
7	Gimap3	3.89189946849174e-92	1.77824774280251	0.628	0.017	5.72342735836395e-88	5.83348813631124e-108	1.66638311538371	0.619	0.008	8.57872765325931e-104	3.89189946849174e-92	1.16669762726226e-107
7	Zap70	3.16692657446172e-106	1.01628965903269	0.442	0.001	4.65728222040341e-102	1.43888270693531e-74	0.959545891253799	0.333	0.003	2.11602090881907e-70	1.43888270693531e-74	6.33385314892353e-106
7	Il2rb	1.92708633664912e-60	0.968810826241552	0.279	0.002	2.8339731666762e-56	4.73604677352826e-104	1.19315827223092	0.476	0.004	6.96483038515066e-100	1.92708633664912e-60	9.47209354705649e-104
7	Tcrg-C2	9.65704161374007e-48	1.00805909846428	0.186	0	1.42016453971661e-43	1.82175723771986e-100	1.58446840818839	0.286	0	2.67907619379083e-96	9.65704161374007e-48	3.64351447543978e-100
7	Il18r1	6.21857737185651e-55	0.814713992836337	0.256	0.002	9.14503988305218e-51	7.41264833254596e-100	1.32909810462466	0.571	0.008	1.09010406378421e-95	6.21857737185651e-55	1.48252966650918e-99
7	Lef1	2.24180922143305e-96	1.39471837361873	0.442	0.003	3.29680464103944e-92	9.16887437446673e-39	0.669564869061173	0.19	0.002	1.34837466550908e-34	9.16887437446673e-39	4.48361844286607e-96
7	Tcf7	6.60851581518463e-96	1.35316405129659	0.488	0.005	9.71848335781051e-92	5.30347668776508e-63	0.908273151346009	0.381	0.006	7.79929281702733e-59	5.30347668776508e-63	1.32170316303692e-95
7	Cd6	1.62600845264137e-94	0.998093477676677	0.395	0.001	2.3912080304544e-90	1.61445956257693e-67	0.893734109640006	0.19	0	2.37422423272564e-63	1.61445956257693e-67	3.25201690528276e-94
7	Sit1	3.07744843312914e-34	0.498526348783928	0.186	0.003	4.52569566575971e-30	4.64451205998043e-91	0.687651667520532	0.333	0.001	6.83021943540722e-87	3.07744843312914e-34	9.28902411996093e-91
7	Podnl1	5.86773867147241e-42	0.823277570450555	0.163	0	8.62909649026733e-38	7.81756090797931e-91	1.02029966432564	0.333	0.001	1.14965050712744e-86	5.86773867147241e-42	1.56351218159585e-90
7	Pdcd1	5.90300052062758e-31	0.855925514729553	0.14	0.001	8.68095256563492e-27	3.95824444808492e-89	1.19945580921781	0.381	0.003	5.82099428535368e-85	5.90300052062758e-31	7.9164888961699e-89
7	Cd8b1	5.77795662238415e-89	2.16474316590349	0.488	0.007	8.49706300887813e-85	2.64950078504687e-82	2.12802928297365	0.381	0.003	3.89635585448992e-78	2.64950078504687e-82	1.15559132447682e-88
7	Sla2	6.54956628427662e-40	0.593984531423416	0.209	0.003	9.6317921776572e-36	4.20880733940074e-86	0.531623663129903	0.286	0.001	6.18947207332272e-82	6.54956628427662e-40	8.41761467880142e-86
7	Themis	9.16108748731881e-54	0.705073926191554	0.233	0.001	1.3472295258851e-49	4.56832938612229e-86	0.873025399231789	0.286	0.001	6.71818519523144e-82	9.16108748731881e-54	9.13665877224472e-86
7	Ltb	2.95818134884918e-84	1.88519860323822	0.93	0.062	4.3503014916176e-80	7.595585890402e-55	2.14041645978763	0.81	0.045	1.11700686104252e-50	7.595585890402e-55	5.91636269769844e-84
