genes	logFC	AveExpr	t	P.Value	adj.P.Val	B
Plxdc2	-1.22968073676209	0.478115800780469	-25.8169433863901	3.62118664685323e-12	2.64001454723297e-08	18.481101858161
Pfkl	1.10152985171029	6.20895546619682	25.7736154508877	3.69620517638498e-12	2.64001454723297e-08	18.4610035431895
Pdk1	0.959162327515603	6.20417442800982	23.6653217065131	1.04591261635152e-11	3.73521543114537e-08	17.4020822248033
Cd5l	1.09432797533169	3.09236641188464	20.2185445869207	7.05415875829259e-11	2.01537315724419e-07	15.423601537844
Hal	-1.32840109627566	3.9617077361859	-19.4621325113997	1.11749315481547e-10	2.66056495275649e-07	14.9628744408327
Itgb7	-0.700607692791596	4.63224802714673	-18.2988739932396	2.34546591301813e-10	4.786425795352e-07	14.1606601758875
Hpgd	6.05966322011176	-0.508575969208631	23.9803224507448	8.90425276458925e-12	3.73521543114537e-08	13.8618910342295
Ide	-0.982080759698123	6.6465414844897	-17.8021671634549	3.26275296420342e-10	5.82605326170573e-07	13.8599742975773
Cyp4f18	-1.92093551524362	0.0746448439170039	-16.9988709563721	5.66871634779147e-10	6.83956204981103e-07	13.4268554524423
Rplp0	-1.27492159279883	10.4981119905677	-17.0014339610477	5.65851861273521e-10	6.83956204981103e-07	13.253674912237
Cd24a	-1.28145487693428	5.42448729219141	-16.7337323747689	6.83868594247473e-10	6.97790204916083e-07	13.162850206441
Itgal	-0.970830613153258	3.03363445510319	-16.614529398347	7.44726853315311e-10	7.09228206640615e-07	13.1229571190107
Egln3	1.95335605747666	3.03777385263111	16.8449508368444	6.31897612114829e-10	6.94358260696949e-07	13.1107853758006
S1pr1	1.01456676290598	5.93263904276472	15.9537185992873	1.20719857805912e-09	1.07780198047341e-06	12.5212396955948
Gm9625	5.78526163863337	2.97388507643964	16.9797261278329	5.74551939781116e-10	6.83956204981103e-07	12.3795952965232
Arl5c	-0.732100374590475	2.65665601069214	-15.5196539189347	1.67472909510338e-09	1.23307634199045e-06	12.2210964370698
P4ha1	0.709963266333566	7.11254670564109	15.523211958629	1.67018502996719e-09	1.23307634199045e-06	12.1465303484974
Ms4a4a	-0.652351493224549	0.740878371978782	-15.5194196079258	1.67502880659506e-09	1.23307634199045e-06	12.1164513904551
Axl	-0.801755713655468	8.56236467763864	-15.4799164759453	1.72639319844656e-09	1.23307634199045e-06	12.0673925314612
Fgd6	1.05890924737843	3.734030586536	15.075847121346	2.3609553689114e-09	1.53301124749542e-06	11.951034947807
C920025E04Rik	-1.48888863463629	3.04253841937197	-14.9558318413794	2.59478793294973e-09	1.61158894009508e-06	11.931716835692
Naaa	-0.700513385778928	4.71600300465553	-15.102598774734	2.31198956272295e-09	1.53301124749542e-06	11.8039807814368
