genes	logFC	AveExpr	t	P.Value	adj.P.Val	B
Txnip	1.95865199383966	7.88119473643829	30.2551826164369	5.19675373357842e-13	7.42356270841677e-09	19.5024817723239
Acta2	-1.08724911750112	3.72624315282665	-21.8705137366793	2.72655283936248e-11	1.94744036551465e-07	16.2459751934935
Tinagl1	-1.11007835317248	0.0634073149508348	-17.5923708579542	3.76058050779915e-10	1.61166165363959e-06	13.6341404620672
Agtr2	0.959018562276976	1.08654243772144	17.1677068663353	5.03737024804538e-10	1.61166165363959e-06	13.5299075877564
Rcan2	-1.01408623754488	2.127381214744	-17.0058238695073	5.64109784263068e-10	1.61166165363959e-06	13.2890919763374
Psrc1	-0.731417787867713	4.77139658320066	-16.0858752468121	1.09444818669451e-09	2.6056987244885e-06	12.7273666434293
Ccng1	-0.568238560298138	7.64663058062275	-14.7228380232283	3.1230578151482e-09	6.35573479044916e-06	11.755269103068
Cyp2c55	-0.86110665927428	-0.463721118334055	-14.5603794738336	3.55938945212414e-09	6.35573479044916e-06	11.3257056774505
Daam2	-0.658756270410306	3.77621820172865	-14.1102618271252	5.14938642442897e-09	8.1732205636631e-06	11.2607220682757
Cd24a	-1.04952831702668	5.42448729219141	-13.9574886285438	5.85097853024068e-09	8.35812283044881e-06	11.1049788339505
Tagln	-0.949938273783606	2.8508135296542	-13.8331118977344	6.49816300666995e-09	8.4387507772982e-06	10.9854276177821
Igf1	1.47793871612645	7.11257081475654	13.595896828392	7.95616814408647e-09	9.47115516152294e-06	10.7810177731215
Pak3	-0.582595622461497	0.949228518440347	-13.4542629512384	8.99171987854099e-09	9.88051680499677e-06	10.7066752676867
Dpt	0.691083798209398	1.10421098682406	12.9806365773323	1.3651645249847e-08	1.23718735623815e-05	10.2882627659782
Cd34	0.657698811566114	4.48171667235588	12.9345446145276	1.42278903123227e-08	1.23718735623815e-05	10.2467106718073
Cnksr3	-0.626881141439463	4.30448578941402	-12.8414376701756	1.54732614646054e-08	1.23718735623815e-05	10.1701529825096
Itgb5	-0.466339976871057	8.08292726692939	-12.8331729139192	1.55893401556084e-08	1.23718735623815e-05	10.1550980272396
Cdo1	-0.614723601200645	2.3611750870947	-12.3258792957883	2.48665989420606e-08	1.66366992731868e-05	9.70128456098462
Serpine2	-0.508726894242409	3.85485840146458	-12.3221651719304	2.49532701548232e-08	1.66366992731868e-05	9.68758602178333
