	logFC	AveExpr	t	P.Value	adj.P.Val	B
Lyl1	2.57966307097479	2.91459743719185	9.47948545755299	1.29017274365506e-06	0.000133131551817567	5.88570637505499
Batf	1.62559417992314	1.32755385697654	9.32274723231324	1.52033553589822e-06	0.000133131551817567	5.72054061646441
Tbx21	1.34318930840474	-0.157273938870233	9.21979861773329	1.69545198175715e-06	0.000133131551817567	5.61069383820097
Myb	0.828946404927184	1.42245311287769	8.98895353463542	2.1726345785116e-06	0.000133131551817567	5.36036937136323
Bcl11a	1.41320076785755	1.2401049990768	8.92247025888606	2.33564125995732e-06	0.000133131551817567	5.28722922408155
Spi1	2.49272076007899	1.0152307647405	8.64241430927312	3.18262212557529e-06	0.000144707533340123	4.97386439637088
Runx3	0.432265079682547	-0.0292206964469003	8.5441170781806	3.55422011712583e-06	0.000144707533340123	4.86181922811142
Ikzf1	1.57067177338014	2.09185552722472	8.27263101973797	4.84631203887424e-06	0.000172649866384895	4.54665778273526
Pou2f2	1.98716111775137	2.3629015753473	7.62130014498456	1.05287435861391e-05	0.000310019162178428	3.75492291027155
Bhlhe22	-0.530637428852511	-2.60046556425538	-7.59475539455808	1.0877865339594e-05	0.000310019162178428	3.72154874271718
E2f1	0.623960665847441	2.37801283685409	7.46788316105507	1.27275105636576e-05	0.00032975822824022	3.56079980457531
Nfe2	0.675951906342419	2.42381073801868	7.37370010829329	1.43185198208749e-05	0.000340064845745778	3.44013533503812
Ets2	0.938635630785843	0.261620826838101	7.27497423040828	1.6218435163222e-05	0.000355558001655251	3.31241702773961
Foxl2	1.00201846570342	-1.61217853410153	7.21348930910989	1.75373484682125e-05	0.000357010308102898	3.23223223257624
Irf4	1.17528804694513	1.86755269942865	7.03063738086409	2.21881042418256e-05	0.000399294366539842	2.99081353538191
Runx1	1.34530007728059	1.66380222079581	7.02274729791817	2.24165258408332e-05	0.000399294366539842	2.98029592482001
Rel	0.683186042390135	-0.568836426187761	6.5300783502821	4.31581389112107e-05	0.000723533505276179	2.30676263438147
Maf	0.911894892514258	1.8251714511118	6.35016512474946	5.52526046785583e-05	0.000874832907410507	2.05240256308125
Mycn	0.408238812081055	2.10613943303432	6.0844763341731	8.02102888437595e-05	0.00108933500875052	1.66837586773971
Mycs	0.408238812081055	2.10613943303432	6.0844763341731	8.02102888437595e-05	0.00108933500875052	1.66837586773971
Zfp592	0.333500584299707	1.71038124681117	6.08398077111673	8.02667901184597e-05	0.00108933500875052	1.66765014864771
Relb	0.760271658830303	2.59615589152251	5.99515243249464	9.11146883043875e-05	0.00113322032099849	1.53699671851188
Mier1	0.269166219066626	2.80742344995806	5.99256774324458	9.14528680104045e-05	0.00113322032099849	1.53317802141139
Srebf1	-0.277962040175747	3.25337163275482	-5.71524219377375	0.000136824439744429	0.00157856159545633	1.11784627534418
Smad4	-0.341661803506916	-0.0506221014122302	-5.70712237637347	0.000138470315390906	0.00157856159545633	1.10551823887317
Foxo1	-0.397041531180053	-0.568887660551071	-5.5515206597401	0.000174441169087193	0.00183263114832877	0.867431606378339
Ctcf	0.272831373228924	1.26726834825067	5.54298567166659	0.000176682305162493	0.00183263114832877	0.854270982740067
Tcf7	0.860502561655835	1.59946546139141	5.53038193718275	0.000180047972467388	0.00183263114832877	0.834817282035266
Nfkb1	1.1155357543464	-0.870833777503597	5.45682077658429	0.000201100793414553	0.00197633538355682	0.720819609434737
Nfatc1	0.46459502935979	2.96799704959195	5.3748942467965	0.000227663207811597	0.00216280047421017	0.592941633352814
Mef2c	0.605100141547512	2.95235126405559	5.3507424854749	0.000236186598277542	0.00217139291964837	0.555059662862149
Nfyb	0.376892074783974	4.85485972814186	5.31473967797673	0.000249526726159057	0.00220683940376104	0.498434374648689
Etv1	0.412600333837894	2.12189767104302	5.29920197325163	0.000255528773067068	0.00220683940376104	0.473939424041482
Stat5b	0.513251779714881	0.972999698638099	5.20904447459957	0.000293515935256486	0.00246035416317937	0.331128980547962
Jun	0.583529759129787	0.116696851571927	5.14274626437994	0.000325247985007213	0.00264844787791587	0.225376801970074
Sp3	0.661562949363951	0.762177989495135	5.12446848308572	0.000334621165647436	0.0026490842280422	0.196112984236362
Ets1	0.755496673974481	1.80854875842137	5.0862414428611	0.000355161578075864	0.00273570404734112	0.134757635916015
Pou2f1	0.463592226556672	0.910691358824157	5.03890153456578	0.000382464463988342	0.00286848347991256	0.0584928072211337
Spib	0.97351210998937	0.0381788648612676	5.01404065133909	0.000397683967070665	0.00290615206705486	0.018316934457407
Nr1h3	0.476484394625771	2.05553414487151	4.96666362201475	0.000428488269818862	0.00305297892245939	-0.0584824250532723
Fosl1	0.376954347748961	-1.00604425399845	4.95028682697996	0.00043971469875437	0.00305655339378038	-0.0851015412159457
Klf1	0.473756411531141	3.67570161890096	4.89262280606703	0.000481782211841697	0.00326923643749723	-0.179121805714474
Pbx2	0.469987198219877	2.32219468423228	4.80145388196013	0.000557186231944962	0.00369297851405382	-0.328690941925998
Tal1	0.380537507147018	1.36503240462561	4.78571780635657	0.000571414696871038	0.00370120883200559	-0.354619917307694
Pknox1	0.288013145649198	1.69260238005633	4.75990444697727	0.000595590721419042	0.00377207456898726	-0.397224905167994
Foxj2	0.326873812662217	1.52591130717254	4.69982083064459	0.000656134545311081	0.00406518142203605	-0.496733245244595
Eomes	0.559647931687308	0.0901539723160422	4.64843967595399	0.000713050693039694	0.00423581188787329	-0.582202216213166
Pax5	0.60618525385426	1.0418438287367	4.63722037808007	0.000726156172590899	0.00423581188787329	-0.600910028685317
Rela	1.00394293859962	-0.894620928918409	4.63543717871681	0.000728262394757162	0.00423581188787329	-0.603884941655364
E2f7	0.2742060879249	4.39323886199901	4.59017784804724	0.000783929135171767	0.00424205553042922	-0.679526835053611
Tfdp1	0.249321706518729	1.60049397569648	4.59013482078824	0.000783984136049174	0.00424205553042922	-0.679598870153739
E2f2	0.370634579196793	-0.122795518319375	4.58595489750297	0.000789346636974524	0.00424205553042922	-0.68659790151592
Zeb2	-0.511977259345997	-4.40437246892748	-4.57727846294125	0.000800601268275779	0.00424205553042922	-0.701133103719445
Stat5a	0.335129884562831	1.12916588192907	4.57486796955696	0.000803757889976063	0.00424205553042922	-0.705172966217795
Sp1	0.688501385471846	3.00040000049643	4.51683650735465	0.000883835716058504	0.00457987598321225	-0.802649808370225
Srebf2	-0.30432691094569	1.97397665669286	-4.44668020809464	0.000991971734495363	0.00504842757734247	-0.921046419595917
Bhlhe40	-0.28749305923957	-2.66909611911843	-4.34262521722302	0.00117861559868492	0.0058930779934246	-1.09773373726559
Zbtb7a	-0.334352013686867	-5.3412827399034	-4.30849959404117	0.00124756068462012	0.00613025508821957	-1.15595306289249
Mitf	0.350029849998911	1.01522299966069	4.28090223890685	0.00130639938880681	0.00631057331881255	-1.20313114914634
E2f4	0.48437637585627	5.26573185062747	4.25665262106367	0.00136049675192851	0.00643706171892864	-1.24465617345783
Elf5	0.258634029803988	1.98935311317541	4.24912723371254	0.00137775706966543	0.00643706171892864	-1.25755580148398
Nono	0.185988951735943	4.46608386695602	4.12707546977392	0.00169201859595044	0.00769013756822571	-1.46761546397257
Prdm1	0.351789785430849	-0.489671420105918	4.09664065437237	0.00178148066896649	0.00769013756822571	-1.52023558248147
Duxbl1	0.280934802276341	0.0246665621906175	4.09179372376631	0.00179617708350882	0.00769013756822571	-1.52862417524017
Duxbl2	0.280934802276341	0.0246665621906175	4.09179372376631	0.00179617708350882	0.00769013756822571	-1.52862417524017
Duxbl3	0.280934802276341	0.0246665621906175	4.09179372376631	0.00179617708350882	0.00769013756822571	-1.52862417524017
Mta2	0.2348002065304	4.30531562188991	4.08797106253253	0.00180785690200394	0.00769013756822571	-1.53524169758037
Nfkb2	-0.234814809419998	0.744201390178568	-4.04471053049987	0.0019456879654851	0.00815472162004785	-1.61023043172423
Elf1	0.2775957493039	6.31153710335939	3.97751241271857	0.002181876417439	0.00901209824594371	-1.72706338775934
Cebpa	0.461198761022	2.23275003343409	3.94183961059603	0.00231919264529553	0.00944242719870324	-1.78925127891387
Taf1	0.424960123798159	7.29853654377653	3.87895158085457	0.00258355917751531	0.0102839024637547	-1.89914863139236
Ebf1	0.541748822528224	2.37422485619052	3.87570269697159	0.00259803851715909	0.0102839024637547	-1.90483495976076
Esr2	0.31537147952008	1.16735805579754	3.8191806000621	0.00286386198715522	0.011180831045743	-2.00389530463519
Elk1	0.30778127992383	0.51474473085817	3.72252940991304	0.00338559710460199	0.0130391239839401	-2.17383039225189
Stat1	0.765307079619783	1.11528293440899	3.68595123389742	0.00360786424702118	0.0136023653209395	-2.23830640655247
Zfp740	0.251437606268393	4.49639758467327	3.68286448239397	0.00362729741891719	0.0136023653209395	-2.24375118733775
Irf1	0.470178292252974	-0.96285719882688	3.64079137211218	0.00390321048664033	0.0143400130534225	-2.3180206287959
Nr2f1	0.351341982725173	1.89998339337678	3.63765376203215	0.00392463515146299	0.0143400130534225	-2.32356332281393
Runx2	0.621930969638284	2.00727961500988	3.62953808623297	0.00398061586095684	0.0143604496249709	-2.33790243962856
Usf1	0.356768870270659	3.39547324130467	3.57887553953926	0.00434918328472925	0.015493965451848	-2.4274929624722
Cebpd	0.563537957408761	1.59651516454919	3.55616041935781	0.00452567229907801	0.0159236617930523	-2.46770259363406
Egr1	0.346450883168025	3.81527620091936	3.49021660776818	0.0050809415925187	0.0174830336543424	-2.58455956785769
Nr5a2	0.291083439512334	0.0597002997349623	3.48903003804043	0.00509155015196639	0.0174830336543424	-2.58666379662693
Ubtf	0.268887204483795	2.68878781477321	3.39461688845502	0.00601282348280216	0.0204006511023645	-2.75423437596637
Klf9	0.29150788327854	4.57378175792261	3.38436989739213	0.00612258937367676	0.0205286820176221	-2.77243538736138
E2f6	-0.241534583408474	-2.89745971213733	-3.32444566192335	0.0068068208499069	0.0224210927145217	-2.87891190874254
Tcf4	0.405118648853528	1.98247615801801	3.32134064019108	0.00684433356548558	0.0224210927145217	-2.88443043262164
Wt1	-0.217489988629361	0.382494866277408	-3.30992258923533	0.00698410238587939	0.0226189679542685	-2.90472443930875
Onecut1	0.626302232829599	0.558638515380889	3.28101299109265	0.00735114994430875	0.0235401992598651	-2.95611162278577
Jund	0.198982014870995	-1.15390572004052	3.26004348182882	0.00762964133743237	0.0241605309018692	-2.99338732831797
