"","W","pvalue","r","adjpval","significance"
"Cavity-Mac",312,0.000922011161152028,0.392,0.00207452511259206,"**"
"IFNIC-Mac",13,0.0938616938616939,0.449,0.120679320679321,"ns"
"Inflammatory-Mac",1808.5,1.50678587331388e-13,0.523,6.78053642991248e-13,"***"
"Resident-Mac",3544,1.04979064203328e-12,0.455,3.14937192609983e-12,"***"
"TREM2hi-Mac",2028.5,3.23079542307211e-14,0.521,2.9077158807649e-13,"***"
"Mature-DC",12,0.0193621308172392,0.504,0.0290431962258588,"*"
"MoDC",449,0.726564359637305,-0.0461,0.726564359637305,"ns"
"Monocyte",2732.5,0.237706661034128,0.0933,0.267419993663394,"ns"
"Neutrophil",292.5,0.00381704665680768,0.362,0.00687068398225383,"**"
