"","W","pvalue","r","adjpval","significance"
"Cavity-Mac",452.5,0.0412244644840601,0.247,0.0957015577978966,"ns"
"IFNIC-Mac",28,NA,NA,NA,"nt"
"Inflammatory-Mac",4192,0.0546866044559409,0.136,0.0957015577978966,"ns"
"Resident-Mac",6454,0.00827947811762225,0.169,0.0579563468233558,"ns"
"TREM2hi-Mac",4576,0.0171877028421012,0.163,0.0601569599473542,"ns"
"Mature-DC",40,NA,NA,NA,"nt"
"MoDC",489,0.104981284080557,-0.21,0.12247816476065,"ns"
"Monocyte",3084,0.950277445101377,-0.00515,0.950277445101377,"ns"
"Neutrophil",414,0.0911692820770085,0.212,0.12247816476065,"ns"
