"","W","pvalue","r","adjpval","significance"
"Cavity-Mac",696,0.0986052801821583,-0.2,0.110930940204928,"ns"
"IFNIC-Mac",41.5,0.120232800536812,-0.416,0.120232800536812,"ns"
"Inflammatory-Mac",5561,0.0272728176023806,-0.156,0.0409092264035708,"*"
"Resident-Mac",8881,0.00298793301920445,-0.19,0.00672284929321001,"**"
"Trem2-foamy-Mac",3912.5,0.00110174203638583,0.224,0.00495783916373623,"**"
"Mature-DC",57.5,0.0944541664312379,-0.375,0.110930940204928,"ns"
"MoDC",591,0.00812991088484612,-0.342,0.014633839592723,"*"
"Monocyte",4038,8.59419765610699e-05,-0.311,0.000773477789049629,"***"
"Neutrophil",702,0.0023090270457797,-0.382,0.00672284929321001,"**"
