genes,logFC,AveExpr,t,P.Value,adj.P.Val,B
Pfkl,1.10152985171029,6.20895546619682,25.7736154508877,3.69620517638498e-12,2.64001454723297e-08,18.4610035431895
Pdk1,0.959162327515603,6.20417442800982,23.6653217065131,1.04591261635152e-11,3.73521543114537e-08,17.4020822248033
Cd5l,1.09432797533169,3.09236641188464,20.2185445869207,7.05415875829259e-11,2.01537315724419e-07,15.423601537844
Hpgd,6.05966322011176,-0.508575969208631,23.9803224507448,8.90425276458925e-12,3.73521543114537e-08,13.8618910342295
Egln3,1.95335605747666,3.03777385263111,16.8449508368444,6.31897612114829e-10,6.94358260696949e-07,13.1107853758006
S1pr1,1.01456676290598,5.93263904276472,15.9537185992873,1.20719857805912e-09,1.07780198047341e-06,12.5212396955948
P4ha1,0.709963266333566,7.11254670564109,15.523211958629,1.67018502996719e-09,1.23307634199045e-06,12.1465303484974
Fgd6,1.05890924737843,3.734030586536,15.075847121346,2.3609553689114e-09,1.53301124749542e-06,11.951034947807
Tpi1,0.98512900871842,8.23095439510958,14.7034474045004,3.17197165550668e-09,1.88798396245471e-06,11.4273896214177
Narf,0.774644796061702,5.24774036208384,14.4352103326323,3.94025058824794e-09,2.01023141618292e-06,11.3369068859407
Pgk1,0.85368494845649,8.53549065714055,14.0731075075199,5.31125431346729e-09,2.44746025380259e-06,10.885901678918
Tfrc,0.788325912598148,5.5636712609006,13.6460938788226,7.62058029130019e-09,3.20176439591833e-06,10.688606590294
Ankrd37,3.94320620596231,0.617844581710354,17.3938512391613,4.30767272838328e-10,6.83723388055058e-07,10.6683450735052
Eno1,0.859289829819367,8.69700660023413,13.6030818780555,7.90717363342881e-09,3.2272564386723e-06,10.4718728211321
Folr2,1.13879618077026,3.46726350287614,13.4157750126883,9.29753948752947e-09,3.68931532164885e-06,10.3191739085997
Ak4,2.6455373773149,3.19691685210011,13.6913067827331,7.3313252934671e-09,3.17357520658114e-06,10.3188927920626
Anxa3,0.760748122555721,6.30103638764187,13.3212214982858,1.00973782335997e-08,3.89840670451274e-06,10.2263505137043
Col18a1,0.624503956986094,5.36494462250832,13.1449976327841,1.17925259363354e-08,4.31939058975771e-06,10.0502582312925
Wdfy1,0.634462198619194,5.66414461138599,12.9871459567183,1.35723076246017e-08,4.84156659571892e-06,10.0329531514312
Armc6,1.29593385310377,3.71629898452788,12.2505160674027,2.66903667026968e-08,7.94316434058383e-06,9.62998043370815
Atp6v0d2,0.796141192912462,3.0254451235073,12.5786084344782,1.96654790126633e-08,6.53305506269525e-06,9.50151063240569
Mif,1.18784629104581,6.39731680557961,12.3358839714695,2.46347392137566e-08,7.6501576014894e-06,9.35674170713301
Gapdh,0.605734819743022,9.95207576846521,12.0516161149223,3.22303378455125e-08,9.20820752246292e-06,9.00635146996668
Zfyve28,0.521515881622911,3.07998940235194,11.6797683801118,4.61891596872019e-08,1.2218743446883e-05,8.64436843310443
Abcd3,0.541753835774375,6.01432782026237,11.5368413091702,5.31778345613838e-08,1.35650958340958e-05,8.57795939373986
Pcdh7,0.709373145426295,5.2898177215124,11.4547946101427,5.76960315476879e-08,1.38553308238388e-05,8.51905448637523
Mefv,0.671751194015578,-0.417096292516771,10.943086213128,9.70371373762514e-08,2.06891866779067e-05,8.14024024065028
Ets1,0.884509169753735,5.07935058547818,10.8153125978253,1.1083635986793e-07,2.26968897865058e-05,8.08045120723879
Rgs11,1.80460154638619,1.08318476995506,10.1300280713992,2.31335948122267e-07,3.67181557658509e-05,7.50491591924699
Mamdc2,0.482967290298675,4.08096182619394,10.5475034682962,1.47079696597351e-07,2.80137795452422e-05,7.3986517431286
Acacb,3.10150608587616,2.04429347097936,10.5591594255451,1.45262070727539e-07,2.80137795452422e-05,7.34864509417706
Tmem8,0.511107370400575,4.93346653144355,10.472228467414,1.59421503361013e-07,2.97486625074055e-05,7.29274088161655
Dhrs9,0.967313052160771,5.4946832322734,10.2280800067587,2.07714900369775e-07,3.45024110672353e-05,7.26374685147815
Gpi1,0.380057934254605,9.09035145885674,10.2361211279596,2.05895873659909e-07,3.45024110672353e-05,7.02061561917501
Fnbp1l,0.605480416109222,6.56255891767462,10.0398195101577,2.55621914184458e-07,3.92640757432793e-05,6.84264789715203
Jak3,0.565392733204846,5.814548888372,9.95166221698315,2.82012419240836e-07,4.24057621984773e-05,6.73220673307636
Igf2bp2,0.757866708709536,5.32208068220332,9.61227176563906,4.14366288405812e-07,5.69509468220432e-05,6.71561571255966
Slc6a8,0.328866180548626,6.89171457778664,9.9629814200357,2.78466338130889e-07,4.23179961723377e-05,6.69831818736894
Myo1e,0.579862531163114,7.01492380186936,9.86342384100482,3.11371747841049e-07,4.53871981419325e-05,6.57212464396224
Zfp868,0.692014805334288,4.55040160751729,9.55926567610084,4.40454546004908e-07,5.88027400904683e-05,6.5521121900223
Agl,0.796349349719911,6.46943413523075,9.74600784027872,3.55620333816821e-07,5.02973907779534e-05,6.48800306043906
Ighg2b,5.31717352294212,-3.84555208017207,14.1356376512392,5.0418878753341e-09,2.40077894330492e-06,6.29996000564946
Frrs1,0.662736522558143,6.37727827489442,9.60340923948282,4.18610389661501e-07,5.69509468220432e-05,6.26814165100347
Ldha,0.562769526558579,8.51150603433815,9.60818223380057,4.16318937342334e-07,5.69509468220432e-05,6.26686796602834
Tlr1,0.664856579352378,3.71163273708272,9.37193532447743,5.47695936152648e-07,7.02709754013466e-05,6.07333359922779
Fam214a,0.616545310504735,4.58111314200629,9.29375286326485,6.00439926741887e-07,7.45850813348509e-05,6.03930680127917
Lpl,0.457492321699823,9.48228137634066,9.35930225366428,5.55871208985101e-07,7.02709754013466e-05,6.00587765329927
Gcn1l1,0.747480329187415,7.1463648937739,9.36256412334319,5.537479157104e-07,7.02709754013466e-05,5.97951938577278
Antxr2,0.412137576398728,7.28465866170474,9.27561066308157,6.13440144761129e-07,7.47835707084882e-05,5.85235343516704
Igkc,4.93620718894041,-3.94156997579386,12.2919204056619,2.56712517397891e-08,7.80242193835929e-06,5.61234222794653
