Cluster,Freq
Cavity-Mac,69
IFNIC-Mac,15
Inflammatory-Mac,200
Resident-Mac_1,213
Resident-Mac_2,32
TREM2hi-Mac,212
Mature-DC,21
MoDC,60
Monocyte,160
Neutrophil,64
n.a.,25
Proliferating,48
