cluster	gene	PHD2cKO_p_val	PHD2cKO_avg_logFC	PHD2cKO_pct.1	PHD2cKO_pct.2	PHD2cKO_p_val_adj	WT_p_val	WT_avg_logFC	WT_pct.1	WT_pct.2	WT_p_val_adj	max_pval	minimump_p_val
8	Fabp7	3.03039819086346e-86	0.842368500291372	0.562	0.005	4.45650357948381e-82	4.32346828988372e-187	1.5291711401959	0.8	0.003	6.358092467103e-183	3.03039819086346e-86	8.64693657976771e-187
8	Alox15	1.25467694011024e-184	3.12937727711119	0.875	0.003	1.84512790812613e-180	5.66685543722553e-186	3.38288531056959	1	0.006	8.33367760598387e-182	1.25467694011024e-184	1.1333710874451e-185
8	Cd5l	7.22294555590109e-73	1.51716999087093	0.625	0.01	1.06220637345081e-68	4.46332160164839e-159	2.29886894357973	0.9	0.006	6.56376074738413e-155	7.22294555590109e-73	8.92664320329659e-159
8	Padi4	1.26245038058301e-55	1.37573485238869	0.75	0.025	1.85655952968537e-51	4.70856120382857e-141	1.82577113014237	1	0.009	6.9244101063503e-137	1.26245038058301e-55	9.41712240765728e-141
8	Serpinb2	3.29396640194078e-100	1.62825880624137	0.625	0.005	4.84410699069411e-96	7.11014835136801e-133	1.98774384901697	0.7	0.004	1.04561841655218e-128	3.29396640194078e-100	1.42202967027358e-132
8	Gm38832	2.92986593792347e-44	0.486656595843312	0.375	0.006	4.30866084831025e-40	2.04432867230964e-126	0.866798650991031	0.6	0.003	3.00638974549856e-122	2.92986593792347e-44	4.0886573446194e-126
8	Prtn3	8.19268550181565e-110	2.60928219332429	1	0.019	1.20481632989701e-105	8.46345388049411e-108	1.75297642832545	0.8	0.008	1.24463552766546e-103	8.46345388049411e-108	1.63853710036314e-109
8	Gm16104	1.21611843984358e-13	0.353416440379733	0.188	0.007	1.78842377763396e-09	3.89799910645661e-107	0.682574323593699	0.7	0.006	5.73239748595509e-103	1.21611843984358e-13	7.79599821291331e-107
8	F5	5.82294804980577e-102	1.74221373969767	0.875	0.015	8.56322740204437e-98	6.73992944066005e-77	1.84316058608116	0.9	0.018	9.91174023543466e-73	6.73992944066005e-77	1.16458960996117e-101
8	F7	6.86875178582453e-84	1.34084797533775	0.688	0.01	1.01011863762336e-79	1.15126645172702e-38	1.0898051492004	0.6	0.017	1.69305244390976e-34	1.15126645172702e-38	1.3737503571649e-83
8	Selp	1.56221310767007e-63	1.3858401327983	1	0.041	2.29739059613961e-59	8.58880845510894e-53	1.2525706631371	0.8	0.021	1.26307017140832e-48	8.58880845510894e-53	3.12442621534019e-63
