cluster	gene	PHD2cKO_p_val	PHD2cKO_avg_logFC	PHD2cKO_pct.1	PHD2cKO_pct.2	PHD2cKO_p_val_adj	WT_p_val	WT_avg_logFC	WT_pct.1	WT_pct.2	WT_p_val_adj	max_pval	minimump_p_val
5	Tmem252	8.95473531520506e-92	1.80784821737464	0.709	0.031	1.31688337545406e-87	4.20041030801579e-119	1.2294434987856	0.477	0.005	6.17712339896802e-115	8.95473531520506e-92	8.40082061603138e-119
5	Selp	1.17687808151443e-86	1.75561785405757	0.636	0.025	1.73071690667511e-82	3.4936892949635e-116	1.33093379243859	0.568	0.011	5.13781947717332e-112	1.17687808151443e-86	6.98737858992704e-116
5	Vwf	7.31736574669332e-99	1.93518626619142	0.727	0.031	1.07609180670872e-94	1.24612716150862e-95	2.31501948227727	0.636	0.024	1.83255460371457e-91	1.24612716150862e-95	1.46347314933866e-98
5	Upp1	7.83226595531891e-42	0.802078954350878	0.491	0.039	1.1518130313892e-37	1.07311163601211e-93	0.87394294853721	0.568	0.017	1.57811797191941e-89	7.83226595531891e-42	2.14622327202421e-93
5	Plvap	2.64244073338752e-84	2.63883385861781	0.927	0.091	3.88597334251968e-80	3.0371447355392e-43	2.55299620950817	0.864	0.168	4.46642504808395e-39	3.0371447355392e-43	5.2848814667751e-84
5	Ackr1	1.45957740315185e-82	1.86436592310495	0.473	0.01	2.14645452907512e-78	6.73428268237285e-47	1.62665349738771	0.295	0.01	9.90343611269751e-43	6.73428268237285e-47	2.91915480630375e-82
5	Lhx6	1.94549108631663e-56	0.524788210411783	0.273	0.003	2.86103919153724e-52	1.17548072102959e-79	0.766130924335994	0.341	0.004	1.72866194834611e-75	1.94549108631663e-56	2.35096144205921e-79
5	Mmrn2	1.73661723557929e-47	1.36286530871201	0.836	0.118	2.55386930664291e-43	1.04503524542512e-72	1.67828224097388	0.841	0.067	1.53682883192217e-68	1.73661723557929e-47	2.09007049085024e-72
5	2200002D01Rik	1.77936713338192e-70	1.20415950749721	0.709	0.051	2.61673730635145e-66	7.99631874553637e-40	1.06460964225595	0.614	0.067	1.17593863471858e-35	7.99631874553637e-40	3.55873426676385e-70
5	Ptprb	2.08790087953472e-53	1.52646412064072	0.927	0.136	3.07046703344376e-49	6.57065788807692e-67	1.93492122166009	0.909	0.095	9.66280949020591e-63	2.08790087953472e-53	1.31413157761538e-66
5	Wipf3	1.39223689259037e-29	0.362191094505496	0.145	0.002	2.04742357424339e-25	7.8118053285915e-66	0.608448758638947	0.227	0.001	1.14880409162267e-61	1.39223689259037e-29	1.56236106571832e-65
5	Pgm5	3.74248823054002e-62	0.807680537081409	0.4	0.012	5.50370319183215e-58	1.44109567937691e-36	0.82503753187846	0.432	0.035	2.11927530609169e-32	1.44109567937691e-36	7.48497646107997e-62
5	Myct1	3.98863343190164e-31	0.728871198079911	0.745	0.125	5.86568432495455e-27	1.58535434774776e-61	1.39988190469061	0.75	0.062	2.33142210379785e-57	3.98863343190164e-31	3.17070869549552e-61
5	Ecscr	2.01818985214564e-57	1.6523442399182	0.927	0.139	2.96794999656538e-53	1.30464079677738e-51	1.73647027809424	0.795	0.095	1.91860475574082e-47	1.30464079677738e-51	4.03637970429134e-57
5	Mall	4.64477178841484e-57	1.00793470338559	0.655	0.052	6.83060139204286e-53	1.51771643268621e-35	0.79117632662936	0.455	0.04	2.23195378590834e-31	1.51771643268621e-35	9.2895435768296e-57
5	Dnm3	1.434816713449e-56	1.00585858065309	0.491	0.026	2.11004145879809e-52	2.2234983849592e-42	0.934163063202212	0.432	0.029	3.269876724921e-38	2.2234983849592e-42	2.869633426898e-56
