	X0	X1	X2	X3	X4	X5	X6	X7	X8
Sox17	2.66155647822847e-05	0	0.331728002423141	0.000164581961816985	0	0.055609862061475	0	0	0.000206782464846981
Mrpl15	0.017950701320132	0.0227158948685857	0.0317370892018779	0.0111111111111111	0.000588235294117646	0.00606060606060606	0.00291666666666667	0.00651041666666667	0
Lypla1	0.014730869273368	0.00980568931503362	0.0671401289090475	0.00900784042430531	0.00373878364905284	0.00346687211093991	0.00217917675544794	0.0066207627118644	0
Tcea1	0.0736196854979616	0.0238533460943827	0.0372825186412593	0.0058343337334934	0.0083044982698962	0.00686868686868687	0.00336134453781512	0.00827205882352941	0.000361990950226244
Atp6v1h	0.0127131463146315	0.0160200250312891	0.0276056338028169	0.00612244897959184	0.00263616557734205	0.00274971941638608	0.00126984126984127	0.003125	0.000213675213675214
Rb1cc1	0.0282094311126028	0.012371396448951	0.0508856529004536	0.0184480571889773	0.00340312396144899	0.00989556582776922	0.00121065375302663	0.00132415254237288	0.00117340286831812
4732440D04Rik	0.00674704567230917	0.00100932617384634	0.0044525215810995	0	0.000506008855154965	0.000325839035516455	0.000460829493087557	0.00201612903225807	0
St18	0	0.000625782227784731	0	0.00170068027210884	0	0	0	0	0
Pcmtd1	0.0570762958648806	0.0076595744680851	0.103562551781276	0.00231292517006803	0.00723414071510957	0.0361497326203209	0.0040672268907563	0.00529411764705882	0.000361990950226244
Sntg1	0.00742574257425743	0	0	0	0	0	0	0	0
Rrs1	0.0667014069828035	0.00143454171515564	0.00476072811135821	0.000716075904045828	0.00185758513931889	0.00998286963199244	0.00835421888053467	0.00328947368421052	0
Adhfe1	0.00618811881188119	0	0	0	0	0	0	0	0
Mybl1	0.00495049504950495	0	0.000312989045383411	0	0.00174291938997821	0	0	0	0
Vcpip1	0.00835396039603961	0.0118666852083623	0.00941575378195096	0.00381078357268834	0.00130718954248366	0.00336700336700337	0.000529100529100529	0.00361689814814815	0
Sgk3	0.00137047603065391	0.0419238737687646	0.0124771226227421	0.0355317268150198	0.000199401794616151	0.000913085658848371	0.00129136400322841	0.00141242937853107	0
Snhg6	0.00774660799413275	0.00667501042970379	0.0150234741784037	0.00453514739229025	0.00177923021060276	0.00336700336700337	0.00211640211640212	0.00361689814814815	0
Cops5	0.021628376429876	0.0117622756601091	0.0218788458908793	0.0129449838187702	0.00487340567294879	0.00397175639894087	0.000277392510402219	0.00273058252427184	0.000186706497386109
Cspp1	0.0188545578695801	0.00676707953907902	0.0186692569208354	0.00190007037297678	0.000676132521974307	0.00250783699059561	0.00798029556650246	0.00872844827586208	0.000265251989389921
Arfgef1	0.0115194211728865	0.00723126129884579	0.0116528229204286	0.0056980056980057	0.0016423663482487	0.000777000777000777	0.0043956043956044	0.0048076923076923	0
Prex2	0.00349027708526248	4.50203041571749e-06	0.373533286047218	0.00011011598884158	0.00022570179150797	0.0908364217716736	0	0	0
Sulf1	0.138266778707391	1.84732760969662e-05	0.00103944701418845	1.25511459196225e-05	0.0574343390492728	0.0164374371016437	0	0	0
Slco5a1	0.000412541254125413	0	0	0.00453514739229025	0	0	0	0	0
Ncoa2	0.00458555470931708	0.00410769872597157	0.0130371975442398	0.00213675213675214	5.02765208647561e-05	0.00634550634550634	0.000183150183150183	0.0200320512820513	0
Tram1	0.215097600841678	0.0846515924792138	0.0272630087927947	0.0267235926628716	0.0157197603899245	0.0145765050888391	0.00847113038763893	0.0142463235294118	0.00178806013720625
