gene	p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster
Spp1	0	2.629206559	0.768	0.25	0	Trem2 foamy Mac
Gpnmb	0	2.277142515	0.393	0.072	0	Trem2 foamy Mac
Lgals3	0	1.997342149	0.989	0.612	0	Trem2 foamy Mac
Mmp12	0	1.924032703	0.478	0.092	0	Trem2 foamy Mac
Cd9	0	1.664941945	0.871	0.3	0	Trem2 foamy Mac
Ctsd	0	1.600870436	0.901	0.674	0	Trem2 foamy Mac
Lpl	0	1.449737515	0.576	0.162	0	Trem2 foamy Mac
Trem2	0	1.224407026	0.835	0.44	0	Trem2 foamy Mac
Ctsb	0	1.188884191	0.994	0.802	0	Trem2 foamy Mac
Gngt2	0	1.151345361	0.823	0.331	0	Trem2 foamy Mac
Capg	0	1.132394717	0.882	0.419	0	Trem2 foamy Mac
Ctss1	0	1.116299774	0.991	0.82	0	Trem2 foamy Mac
AA467197	0	1.071940036	0.532	0.149	0	Trem2 foamy Mac
Cd68	0	1.038599715	0.901	0.558	0	Trem2 foamy Mac
Ctsz	0	0.998802632	0.97	0.704	0	Trem2 foamy Mac
Anxa1	0	0.993139316	0.731	0.279	0	Trem2 foamy Mac
Cd63	0	0.986336231	0.887	0.602	0	Trem2 foamy Mac
Ms4a71	0	0.971241679	0.874	0.561	0	Trem2 foamy Mac
Prdx1	0	0.96693178	0.976	0.793	0	Trem2 foamy Mac
Hexb1	0	0.949757822	0.839	0.477	0	Trem2 foamy Mac
Syngr1	0	0.943173822	0.442	0.05	0	Trem2 foamy Mac
Aprt	0	0.911536778	0.789	0.345	0	Trem2 foamy Mac
Msrb1	0	0.907262094	0.73	0.318	0	Trem2 foamy Mac
Gpr137b	0	0.893078909	0.635	0.201	0	Trem2 foamy Mac
Mpeg11	0	0.880389337	0.797	0.401	0	Trem2 foamy Mac
Anxa5	0	0.857453134	0.937	0.658	0	Trem2 foamy Mac
Cstb1	0	0.840348699	0.944	0.673	0	Trem2 foamy Mac
Tnfaip21	0	0.833476037	0.643	0.185	0	Trem2 foamy Mac
Fth11	0	0.814423295	1	0.992	0	Trem2 foamy Mac
Cyba	0	0.786829551	0.992	0.886	0	Trem2 foamy Mac
Gusb	0	0.785392084	0.746	0.35	0	Trem2 foamy Mac
Rnh1	0	0.782971057	0.726	0.367	0	Trem2 foamy Mac
Sgk1	0	0.762563726	0.568	0.192	0	Trem2 foamy Mac
Atox1	0	0.754277214	0.981	0.767	0	Trem2 foamy Mac
Abcg1	0	0.735772649	0.627	0.222	0	Trem2 foamy Mac
Atp6v0d2	0	0.728441495	0.252	0.033	0	Trem2 foamy Mac
Glipr1	0	0.717697208	0.685	0.26	0	Trem2 foamy Mac
Lilrb4a1	0	0.711411024	0.862	0.496	0	Trem2 foamy Mac
Ftl11	0	0.704956592	1	0.988	0	Trem2 foamy Mac
Cxcl161	0	0.702910928	0.89	0.538	0	Trem2 foamy Mac
Dpep2	0	0.669912498	0.549	0.137	0	Trem2 foamy Mac
Lat2	0	0.657546982	0.708	0.288	0	Trem2 foamy Mac
Gpx1	0	0.654832619	0.981	0.762	0	Trem2 foamy Mac
Tyrobp1	0	0.654552744	0.998	0.767	0	Trem2 foamy Mac
Clec4d	0	0.629054166	0.503	0.127	0	Trem2 foamy Mac
Anpep	0	0.613681569	0.389	0.072	0	Trem2 foamy Mac
Lrp1	0	0.606358584	0.635	0.257	0	Trem2 foamy Mac
Tgm2	0	0.582185083	0.485	0.128	0	Trem2 foamy Mac
Anxa4	0	0.566831414	0.609	0.234	0	Trem2 foamy Mac
Itgax	0	0.557902595	0.437	0.098	0	Trem2 foamy Mac
Olfml3	0	0.546490186	0.399	0.081	0	Trem2 foamy Mac
Mmp14	0	0.484165584	0.406	0.089	0	Trem2 foamy Mac
Adam8	0	0.482284686	0.374	0.069	0	Trem2 foamy Mac
