gene	p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster
Fam129b	0	0.431430894	0.407	0.102	0	Trem2 foamy Mac
Slc27a1	0	0.39254402	0.34	0.064	0	Trem2 foamy Mac
Lhfpl2	0	0.382003744	0.326	0.046	0	Trem2 foamy Mac
Apbb2	0	0.340278981	0.292	0.042	0	Trem2 foamy Mac
Slc6a8	0	0.324085916	0.276	0.037	0	Trem2 foamy Mac
Cdk18	0	0.294796277	0.271	0.027	0	Trem2 foamy Mac
Vim	9.62E-306	0.848226042	0.923	0.677	1.60E-301	Trem2 foamy Mac
Fabp5	1.22E-303	2.105001761	0.535	0.219	2.04E-299	Trem2 foamy Mac
2010111I01Rik	4.42E-300	0.49252644	0.537	0.173	7.38E-296	Trem2 foamy Mac
Fam20c	1.23E-299	0.321560361	0.298	0.054	2.05E-295	Trem2 foamy Mac
Npy	1.85E-295	0.484740052	0.155	0.01	3.08E-291	Trem2 foamy Mac
Cd721	2.02E-288	0.906285733	0.721	0.356	3.38E-284	Trem2 foamy Mac
Pld3	1.69E-287	0.918107657	0.619	0.294	2.82E-283	Trem2 foamy Mac
Hexa	1.32E-285	0.711025044	0.902	0.611	2.20E-281	Trem2 foamy Mac
Basp11	2.30E-280	0.55307543	0.72	0.324	3.84E-276	Trem2 foamy Mac
Cpd	5.91E-279	0.392389528	0.421	0.116	9.85E-275	Trem2 foamy Mac
Pdpn	1.45E-277	0.420670582	0.241	0.037	2.42E-273	Trem2 foamy Mac
Vat1	1.04E-273	0.596299778	0.514	0.188	1.74E-269	Trem2 foamy Mac
Cd300lf	1.47E-272	0.291383894	0.272	0.049	2.45E-268	Trem2 foamy Mac
AF2517051	1.85E-272	0.558791582	0.788	0.407	3.09E-268	Trem2 foamy Mac
Fcer1g1	5.54E-270	0.505634582	0.999	0.768	9.24E-266	Trem2 foamy Mac
Anxa2	1.79E-269	0.669314319	0.793	0.444	2.99E-265	Trem2 foamy Mac
Psap	7.25E-269	1.082625113	0.97	0.836	1.21E-264	Trem2 foamy Mac
Npc2	7.20E-267	0.501498323	0.962	0.835	1.20E-262	Trem2 foamy Mac
Pdgfa	1.04E-266	0.482657802	0.488	0.156	1.74E-262	Trem2 foamy Mac
Atp6v0e	2.36E-263	0.542471032	0.927	0.713	3.94E-259	Trem2 foamy Mac
F10	6.32E-263	0.510159106	0.171	0.017	1.06E-258	Trem2 foamy Mac
Nceh1	2.17E-262	0.414236233	0.471	0.151	3.63E-258	Trem2 foamy Mac
Tgfbr11	4.02E-259	0.473150399	0.6	0.231	6.70E-255	Trem2 foamy Mac
Gde1	3.15E-256	0.436625451	0.493	0.172	5.25E-252	Trem2 foamy Mac
Akr1a1	2.42E-255	0.542818196	0.907	0.69	4.04E-251	Trem2 foamy Mac
Alcam	6.60E-255	0.384541515	0.47	0.151	1.10E-250	Trem2 foamy Mac
Ctsa	2.26E-253	0.611053642	0.843	0.546	3.76E-249	Trem2 foamy Mac
Plin2	6.17E-253	0.837335796	0.782	0.492	1.03E-248	Trem2 foamy Mac
Hebp1	6.87E-252	0.427494148	0.429	0.134	1.15E-247	Trem2 foamy Mac
Fxyd5	5.96E-251	0.560613114	0.964	0.771	9.95E-247	Trem2 foamy Mac
Arl11	3.05E-244	0.365454646	0.422	0.13	5.09E-240	Trem2 foamy Mac
Lipa	1.15E-242	0.641969708	0.64	0.324	1.92E-238	Trem2 foamy Mac
Igf1	1.42E-242	0.736349113	0.722	0.398	2.37E-238	Trem2 foamy Mac
Psmb6	3.37E-242	0.574786602	0.811	0.525	5.63E-238	Trem2 foamy Mac
Gpr137b-ps	1.24E-237	0.338504478	0.375	0.106	2.06E-233	Trem2 foamy Mac
Il7r	3.87E-234	0.297920759	0.387	0.109	6.46E-230	Trem2 foamy Mac
Gsto1	6.76E-228	0.387561219	0.452	0.159	1.13E-223	Trem2 foamy Mac
Havcr2	1.61E-225	0.263746312	0.295	0.069	2.68E-221	Trem2 foamy Mac
Aldoa	2.99E-225	0.551003256	0.866	0.613	4.99E-221	Trem2 foamy Mac
Gm101161	1.01E-222	0.625091406	0.954	0.678	1.69E-218	Trem2 foamy Mac
Card19	1.15E-222	0.53531675	0.785	0.431	1.91E-218	Trem2 foamy Mac
Anxa3	2.51E-222	0.468918995	0.616	0.278	4.19E-218	Trem2 foamy Mac
Myo1e	3.15E-221	0.318247145	0.366	0.108	5.26E-217	Trem2 foamy Mac
Pfn1	1.05E-219	0.436444296	0.991	0.94	1.74E-215	Trem2 foamy Mac
Myl6	5.59E-219	0.349762218	0.981	0.901	9.33E-215	Trem2 foamy Mac
Creg1	1.66E-215	0.668856202	0.701	0.408	2.76E-211	Trem2 foamy Mac
S100a61	1.62E-214	0.667125493	0.86	0.531	2.70E-210	Trem2 foamy Mac
Pqlc1	1.53E-213	0.328829017	0.365	0.11	2.55E-209	Trem2 foamy Mac
Lgmn	1.84E-212	0.623444221	0.917	0.655	3.07E-208	Trem2 foamy Mac
Tpd521	9.66E-211	0.489423649	0.814	0.494	1.61E-206	Trem2 foamy Mac
Pdlim7	2.63E-210	0.345501338	0.367	0.111	4.38E-206	Trem2 foamy Mac
Rhoc	3.23E-209	0.582449031	0.583	0.265	5.38E-205	Trem2 foamy Mac
Pkm	3.54E-206	0.595789073	0.819	0.577	5.91E-202	Trem2 foamy Mac
Atp6v0b	2.02E-205	0.434084978	0.911	0.677	3.37E-201	Trem2 foamy Mac
Txn1	6.57E-203	0.536712063	0.886	0.638	1.10E-198	Trem2 foamy Mac
Smpdl3a	8.55E-203	0.507769409	0.592	0.283	1.43E-198	Trem2 foamy Mac
Zmynd15	2.95E-202	0.569234969	0.323	0.093	4.92E-198	Trem2 foamy Mac
Ctsl	3.11E-202	1.548901259	0.69	0.397	5.19E-198	Trem2 foamy Mac
Pgam1	2.56E-200	0.513829059	0.614	0.314	4.27E-196	Trem2 foamy Mac
Sdcbp1	4.20E-199	0.43591111	0.934	0.734	7.01E-195	Trem2 foamy Mac
Nes	5.22E-198	0.374819936	0.248	0.057	8.71E-194	Trem2 foamy Mac
Mfsd12	2.38E-197	0.253857578	0.307	0.084	3.98E-193	Trem2 foamy Mac
Lamp1	2.93E-197	0.514097978	0.931	0.742	4.89E-193	Trem2 foamy Mac
Pkib1	9.11E-196	0.276401557	0.443	0.155	1.52E-191	Trem2 foamy Mac
Lilr4b1	9.31E-195	0.454076587	0.773	0.429	1.55E-190	Trem2 foamy Mac
Atp6v1c1	9.49E-195	0.410100317	0.548	0.247	1.58E-190	Trem2 foamy Mac
Fgr	1.67E-192	0.264149612	0.341	0.101	2.79E-188	Trem2 foamy Mac
Tnfsf12	2.96E-192	0.375744823	0.501	0.209	4.94E-188	Trem2 foamy Mac
Taldo1	4.15E-192	0.54002096	0.787	0.519	6.92E-188	Trem2 foamy Mac
Itgb5	2.07E-191	0.39718423	0.548	0.236	3.46E-187	Trem2 foamy Mac
Ndrg1	1.99E-189	0.264923132	0.3	0.082	3.32E-185	Trem2 foamy Mac
Cotl1	2.21E-189	0.509955461	0.899	0.748	3.69E-185	Trem2 foamy Mac
Apobec1	3.17E-189	0.383445667	0.578	0.257	5.29E-185	Trem2 foamy Mac
Dnase1l1	1.58E-187	0.315006612	0.477	0.188	2.63E-183	Trem2 foamy Mac
Dnmt3a	3.27E-187	0.461381166	0.428	0.169	5.46E-183	Trem2 foamy Mac
Esd	7.32E-187	0.5537298	0.731	0.44	1.22E-182	Trem2 foamy Mac
Rnf149	2.86E-186	0.466537391	0.639	0.325	4.77E-182	Trem2 foamy Mac
Cadm1	1.64E-185	0.316768484	0.253	0.062	2.73E-181	Trem2 foamy Mac
Cd5l	2.11E-185	1.308391034	0.192	0.036	3.51E-181	Trem2 foamy Mac
Ctsk	2.31E-183	0.319674002	0.141	0.018	3.86E-179	Trem2 foamy Mac
Il1rn1	4.61E-182	0.438687941	0.49	0.194	7.69E-178	Trem2 foamy Mac
Cd44	6.03E-180	0.449722117	0.684	0.348	1.01E-175	Trem2 foamy Mac
Ckb	6.77E-179	0.565176557	0.728	0.429	1.13E-174	Trem2 foamy Mac
Fabp4	6.83E-177	0.573553669	0.19	0.037	1.14E-172	Trem2 foamy Mac
Slc15a31	5.77E-176	0.398742968	0.669	0.343	9.63E-172	Trem2 foamy Mac
Sirpa	1.46E-175	0.428681454	0.663	0.359	2.44E-171	Trem2 foamy Mac
Pilra	8.16E-175	0.412858434	0.426	0.164	1.36E-170	Trem2 foamy Mac
S100a4	2.79E-174	0.582261887	0.713	0.388	4.66E-170	Trem2 foamy Mac
Ptms	1.65E-173	0.449987169	0.785	0.479	2.76E-169	Trem2 foamy Mac
Ywhah	1.20E-172	0.474787968	0.817	0.559	2.01E-168	Trem2 foamy Mac
Nrp2	3.58E-171	0.271595816	0.455	0.173	5.98E-167	Trem2 foamy Mac
Atp6v1a	9.89E-171	0.380536869	0.645	0.343	1.65E-166	Trem2 foamy Mac
Ms4a6d	2.33E-170	0.477329675	0.718	0.414	3.88E-166	Trem2 foamy Mac
Csf2ra	4.64E-169	0.395374725	0.678	0.359	7.74E-165	Trem2 foamy Mac
Cd84	3.34E-168	0.427933339	0.61	0.316	5.58E-164	Trem2 foamy Mac
Spi11	5.99E-168	0.403210829	0.897	0.57	1.00E-163	Trem2 foamy Mac
Uap1l1	6.12E-168	0.369370169	0.469	0.204	1.02E-163	Trem2 foamy Mac
Atp6v1g1	3.85E-167	0.398604408	0.897	0.697	6.43E-163	Trem2 foamy Mac
Pgd	1.38E-166	0.340038509	0.529	0.241	2.31E-162	Trem2 foamy Mac
Slc11a1	2.19E-162	0.387525454	0.543	0.257	3.65E-158	Trem2 foamy Mac
Soat1	2.00E-159	0.329145455	0.455	0.195	3.33E-155	Trem2 foamy Mac
Gng5	5.12E-159	0.334896761	0.974	0.863	8.55E-155	Trem2 foamy Mac
Myof	1.91E-158	0.323424938	0.44	0.184	3.19E-154	Trem2 foamy Mac
Emp1	4.43E-158	0.341832344	0.495	0.214	7.38E-154	Trem2 foamy Mac
Mgst1	1.48E-156	0.408402748	0.352	0.126	2.46E-152	Trem2 foamy Mac
Renbp	1.14E-155	0.264059084	0.436	0.176	1.90E-151	Trem2 foamy Mac
Emp3	3.31E-155	0.388639025	0.918	0.725	5.52E-151	Trem2 foamy Mac
Plp2	3.92E-155	0.371341609	0.495	0.219	6.55E-151	Trem2 foamy Mac
F11r1	4.08E-154	0.356044778	0.372	0.138	6.81E-150	Trem2 foamy Mac
Slamf71	7.92E-154	0.295918739	0.523	0.229	1.32E-149	Trem2 foamy Mac
Cfl1	3.41E-153	0.30043653	0.978	0.924	5.68E-149	Trem2 foamy Mac
Cebpa	4.01E-152	0.394185939	0.534	0.26	6.69E-148	Trem2 foamy Mac
Calm1	5.33E-152	0.30745333	0.979	0.903	8.89E-148	Trem2 foamy Mac
Bcl2a1b1	2.92E-151	0.411595535	0.871	0.592	4.88E-147	Trem2 foamy Mac
Atp6v1b2	3.76E-151	0.366139735	0.552	0.279	6.27E-147	Trem2 foamy Mac
Gsr	1.94E-150	0.380967317	0.343	0.123	3.23E-146	Trem2 foamy Mac
Acp5	2.81E-148	0.677407868	0.412	0.181	4.69E-144	Trem2 foamy Mac
Tmem86a	1.85E-147	0.299211581	0.407	0.163	3.08E-143	Trem2 foamy Mac
Psmd1	1.53E-146	0.351265223	0.451	0.199	2.55E-142	Trem2 foamy Mac
Lmna1	4.49E-146	0.427992991	0.646	0.339	7.50E-142	Trem2 foamy Mac
Gabarap	2.05E-145	0.30170737	0.966	0.854	3.42E-141	Trem2 foamy Mac
Abca1	3.67E-144	0.383891651	0.669	0.374	6.12E-140	Trem2 foamy Mac
Metrnl1	7.41E-144	0.379236518	0.777	0.479	1.24E-139	Trem2 foamy Mac
S100a1	1.32E-142	0.428817833	0.598	0.313	2.19E-138	Trem2 foamy Mac
Tspan4	2.51E-142	0.291801694	0.429	0.183	4.19E-138	Trem2 foamy Mac
Tmem189	5.05E-142	0.27894959	0.533	0.248	8.42E-138	Trem2 foamy Mac
Alas1	5.74E-142	0.265509762	0.318	0.113	9.57E-138	Trem2 foamy Mac
Tcirg1	8.99E-142	0.282436702	0.431	0.186	1.50E-137	Trem2 foamy Mac
Arpc2	1.85E-141	0.319342648	0.97	0.871	3.08E-137	Trem2 foamy Mac
Iqgap1	2.89E-141	0.392467083	0.811	0.587	4.83E-137	Trem2 foamy Mac
Gsn	4.77E-141	0.275283883	0.61	0.319	7.96E-137	Trem2 foamy Mac
Dtnbp1	7.33E-141	0.254637188	0.465	0.204	1.22E-136	Trem2 foamy Mac
Gyg	1.38E-140	0.269964324	0.404	0.17	2.30E-136	Trem2 foamy Mac
Grn	1.46E-139	0.427854323	0.867	0.621	2.44E-135	Trem2 foamy Mac
Fam46c	5.41E-138	0.250325359	0.36	0.135	9.03E-134	Trem2 foamy Mac
Actg1	1.36E-137	0.417629586	0.981	0.937	2.27E-133	Trem2 foamy Mac
Sh3bgrl3	1.16E-136	0.309803237	0.991	0.95	1.94E-132	Trem2 foamy Mac
Ctsh1	1.74E-134	0.38241775	0.917	0.674	2.90E-130	Trem2 foamy Mac
Gadd45a	3.37E-134	0.250228251	0.263	0.083	5.63E-130	Trem2 foamy Mac
Cndp2	6.93E-134	0.386181838	0.628	0.368	1.16E-129	Trem2 foamy Mac
Dusp3	7.05E-134	0.282724969	0.535	0.263	1.18E-129	Trem2 foamy Mac
Ggh	2.52E-132	0.279266376	0.583	0.302	4.20E-128	Trem2 foamy Mac
Tpi1	3.57E-132	0.371244235	0.616	0.358	5.96E-128	Trem2 foamy Mac
Gdf3	9.13E-132	0.417491409	0.163	0.036	1.52E-127	Trem2 foamy Mac
Gapdh	2.73E-131	0.407859746	0.908	0.765	4.55E-127	Trem2 foamy Mac
Mgst3	4.33E-130	0.292372326	0.376	0.153	7.22E-126	Trem2 foamy Mac
Abhd12	9.64E-130	0.36072048	0.653	0.388	1.61E-125	Trem2 foamy Mac
Itgb2	1.03E-129	0.371213737	0.671	0.405	1.72E-125	Trem2 foamy Mac
Arpc1b	1.73E-129	0.298740905	0.969	0.861	2.88E-125	Trem2 foamy Mac
Rgs11	9.51E-128	0.43595208	0.768	0.49	1.59E-123	Trem2 foamy Mac
Atp6ap1	2.09E-127	0.363964734	0.684	0.425	3.48E-123	Trem2 foamy Mac
Cd300a	8.63E-127	0.365885358	0.527	0.273	1.44E-122	Trem2 foamy Mac
Plaur2	9.49E-127	0.277940962	0.494	0.224	1.58E-122	Trem2 foamy Mac
Serf2	6.40E-126	0.264249341	0.992	0.944	1.07E-121	Trem2 foamy Mac
Id21	2.33E-125	0.352716395	0.809	0.522	3.88E-121	Trem2 foamy Mac
Thbs1	2.36E-124	0.689844676	0.212	0.061	3.94E-120	Trem2 foamy Mac
Mdfic	4.42E-124	0.250315042	0.524	0.259	7.38E-120	Trem2 foamy Mac
Trappc2l	8.80E-124	0.272783305	0.595	0.324	1.47E-119	Trem2 foamy Mac
Bola2	5.01E-123	0.332123604	0.78	0.509	8.37E-119	Trem2 foamy Mac
Skap2	1.04E-122	0.293637174	0.658	0.376	1.73E-118	Trem2 foamy Mac
Vdac2	2.20E-122	0.329316924	0.737	0.492	3.67E-118	Trem2 foamy Mac
Psmd8	4.06E-122	0.353018382	0.707	0.453	6.78E-118	Trem2 foamy Mac
Mrpl52	4.60E-122	0.343914969	0.857	0.608	7.68E-118	Trem2 foamy Mac
Vma21	4.55E-121	0.275655649	0.548	0.281	7.59E-117	Trem2 foamy Mac
Tmem14c	3.64E-119	0.313938793	0.701	0.44	6.07E-115	Trem2 foamy Mac
Arl4c	2.08E-118	0.303940781	0.678	0.39	3.47E-114	Trem2 foamy Mac
Bcl2a1a1	2.71E-118	0.307520635	0.457	0.208	4.52E-114	Trem2 foamy Mac
Ucp2	4.32E-118	0.331042962	0.927	0.769	7.20E-114	Trem2 foamy Mac
Reep5	1.00E-117	0.311876334	0.836	0.593	1.67E-113	Trem2 foamy Mac
Nptn	2.38E-117	0.295784594	0.636	0.367	3.97E-113	Trem2 foamy Mac
Atp6v1f	4.47E-117	0.30141974	0.906	0.73	7.46E-113	Trem2 foamy Mac
Atp6ap2	1.02E-116	0.33066748	0.69	0.429	1.69E-112	Trem2 foamy Mac
Mpc1	7.99E-116	0.320396718	0.67	0.408	1.33E-111	Trem2 foamy Mac
Ppt1	1.42E-115	0.289462995	0.674	0.398	2.37E-111	Trem2 foamy Mac
Msr1	2.33E-115	0.312917785	0.448	0.212	3.89E-111	Trem2 foamy Mac
Bax	3.08E-115	0.33970891	0.794	0.538	5.14E-111	Trem2 foamy Mac
Daglb	3.24E-115	0.254255162	0.464	0.221	5.41E-111	Trem2 foamy Mac
Atp6v0d1	3.33E-115	0.290901742	0.639	0.382	5.56E-111	Trem2 foamy Mac
Tnfrsf1b1	6.60E-114	0.360167596	0.631	0.347	1.10E-109	Trem2 foamy Mac
Lamp2	9.62E-114	0.30594001	0.82	0.56	1.61E-109	Trem2 foamy Mac
Timp2	6.01E-113	0.372188702	0.811	0.556	1.00E-108	Trem2 foamy Mac
Rtn4	7.58E-113	0.359248586	0.788	0.563	1.26E-108	Trem2 foamy Mac
Serpinb6a	1.15E-112	0.36514265	0.623	0.371	1.92E-108	Trem2 foamy Mac
Ncf4	1.79E-112	0.26082347	0.571	0.299	2.98E-108	Trem2 foamy Mac
Myl12a	5.17E-112	0.308998717	0.895	0.741	8.62E-108	Trem2 foamy Mac
Ifngr21	4.47E-111	0.26475344	0.634	0.355	7.46E-107	Trem2 foamy Mac
Rps27l	1.87E-110	0.304675788	0.901	0.673	3.12E-106	Trem2 foamy Mac
Atp6v1e1	3.20E-110	0.331691277	0.681	0.443	5.34E-106	Trem2 foamy Mac
1810058I24Rik	8.37E-109	0.280991485	0.637	0.378	1.40E-104	Trem2 foamy Mac
Gm2a	1.11E-107	0.277072271	0.704	0.444	1.86E-103	Trem2 foamy Mac
P2rx4	3.67E-107	0.31131059	0.572	0.332	6.12E-103	Trem2 foamy Mac
Bri31	8.54E-107	0.284133927	0.891	0.666	1.42E-102	Trem2 foamy Mac
Mtpn	1.36E-106	0.290805699	0.679	0.417	2.27E-102	Trem2 foamy Mac
Lsp11	1.63E-106	0.346661711	0.851	0.599	2.72E-102	Trem2 foamy Mac
Tpm4	4.55E-106	0.321385624	0.739	0.482	7.59E-102	Trem2 foamy Mac
Gnas2	4.76E-106	0.337248999	0.865	0.708	7.94E-102	Trem2 foamy Mac
Glmp	1.03E-104	0.295684836	0.608	0.363	1.72E-100	Trem2 foamy Mac
Ndufa1	1.68E-104	0.311094672	0.793	0.566	2.80E-100	Trem2 foamy Mac
Pon2	2.42E-102	0.262457773	0.628	0.366	4.05E-98	Trem2 foamy Mac
Lyz2	3.61E-102	0.53042101	0.981	0.802	6.03E-98	Trem2 foamy Mac
Lgals1	6.13E-102	0.348617514	0.924	0.778	1.02E-97	Trem2 foamy Mac
Il18bp	9.88E-102	0.369624293	0.206	0.068	1.65E-97	Trem2 foamy Mac
Degs1	1.36E-101	0.269647376	0.536	0.303	2.27E-97	Trem2 foamy Mac
Eif4a1	3.49E-101	0.332267348	0.907	0.775	5.82E-97	Trem2 foamy Mac
Atp5g1	1.12E-100	0.291655263	0.83	0.595	1.86E-96	Trem2 foamy Mac
Nme1	1.68E-100	0.277678172	0.758	0.499	2.80E-96	Trem2 foamy Mac
Cdk6	1.71E-99	0.259644376	0.415	0.2	2.86E-95	Trem2 foamy Mac
Mfge8	4.88E-99	0.707663768	0.28	0.11	8.13E-95	Trem2 foamy Mac
Spcs1	5.23E-99	0.266442866	0.757	0.508	8.73E-95	Trem2 foamy Mac
C1qb1	3.38E-98	0.353044191	0.936	0.736	5.64E-94	Trem2 foamy Mac
Tgfbi	3.42E-98	0.565635132	0.746	0.492	5.71E-94	Trem2 foamy Mac
Cd141	1.46E-96	0.283394414	0.867	0.586	2.44E-92	Trem2 foamy Mac
Pla2g7	3.21E-95	0.396636424	0.586	0.355	5.36E-91	Trem2 foamy Mac
Uqcr11	4.63E-94	0.286955107	0.866	0.649	7.72E-90	Trem2 foamy Mac
Ndufc1	1.99E-93	0.25623963	0.697	0.438	3.32E-89	Trem2 foamy Mac
Myeov2	2.79E-93	0.273965316	0.86	0.658	4.66E-89	Trem2 foamy Mac
Crlf2	1.35E-91	0.278121164	0.624	0.389	2.25E-87	Trem2 foamy Mac
Efhd21	2.94E-91	0.255776327	0.847	0.594	4.90E-87	Trem2 foamy Mac
Myadm	7.52E-91	0.269186686	0.553	0.309	1.25E-86	Trem2 foamy Mac
Prkcd	1.49E-90	0.255285676	0.585	0.342	2.48E-86	Trem2 foamy Mac
Il10rb	3.68E-90	0.261716765	0.701	0.46	6.14E-86	Trem2 foamy Mac
Psmb5	6.20E-90	0.26548907	0.628	0.384	1.03E-85	Trem2 foamy Mac
Mafb	2.26E-88	0.262479185	0.738	0.472	3.77E-84	Trem2 foamy Mac
Tkt	2.27E-88	0.261033727	0.632	0.394	3.80E-84	Trem2 foamy Mac
Clec4e1	2.85E-88	0.43080439	0.261	0.107	4.76E-84	Trem2 foamy Mac
Litaf1	7.59E-88	0.26013693	0.76	0.515	1.27E-83	Trem2 foamy Mac
Ubl3	1.14E-86	0.255185646	0.707	0.469	1.91E-82	Trem2 foamy Mac
C3ar11	1.28E-86	0.270472794	0.687	0.431	2.13E-82	Trem2 foamy Mac
Tspo	1.51E-84	0.322610823	0.922	0.737	2.53E-80	Trem2 foamy Mac
Nfe2l21	2.55E-81	0.257059613	0.79	0.529	4.25E-77	Trem2 foamy Mac
Sqstm11	6.40E-81	0.280303856	0.768	0.519	1.07E-76	Trem2 foamy Mac
Man2b1	3.25E-79	0.271154593	0.633	0.398	5.43E-75	Trem2 foamy Mac
Prr13	4.54E-79	0.265058553	0.768	0.539	7.58E-75	Trem2 foamy Mac
Pea15a	1.08E-78	0.25266596	0.635	0.394	1.81E-74	Trem2 foamy Mac
Sdf2l1	1.41E-76	0.298578227	0.626	0.414	2.36E-72	Trem2 foamy Mac
Arpc4	2.10E-76	0.261097708	0.83	0.631	3.51E-72	Trem2 foamy Mac
Smim142	1.30E-74	0.250976885	0.771	0.529	2.16E-70	Trem2 foamy Mac
Gpx4	5.87E-74	0.252089825	0.857	0.67	9.80E-70	Trem2 foamy Mac
Msn	7.62E-74	0.269836432	0.806	0.609	1.27E-69	Trem2 foamy Mac
Lcp1	2.59E-73	0.263692795	0.888	0.732	4.32E-69	Trem2 foamy Mac
Ccdc12	4.98E-73	0.270760965	0.789	0.56	8.32E-69	Trem2 foamy Mac
Uqcrq	1.77E-72	0.253526688	0.833	0.649	2.96E-68	Trem2 foamy Mac
Sirpb1c	2.74E-71	0.270564392	0.199	0.077	4.57E-67	Trem2 foamy Mac
Sat1	1.41E-70	0.262712203	0.914	0.756	2.35E-66	Trem2 foamy Mac
Hist1h2bc	3.18E-70	0.322591741	0.456	0.267	5.30E-66	Trem2 foamy Mac
Actb	4.49E-66	0.354058024	0.996	0.99	7.49E-62	Trem2 foamy Mac
Crip1	4.68E-57	0.297715253	0.974	0.894	7.81E-53	Trem2 foamy Mac
Pdia6	1.18E-56	0.289220373	0.638	0.466	1.97E-52	Trem2 foamy Mac
Slamf91	2.33E-55	0.254591854	0.538	0.347	3.89E-51	Trem2 foamy Mac
Osm1	3.77E-54	0.47636315	0.315	0.171	6.29E-50	Trem2 foamy Mac
Calr	4.33E-52	0.297909883	0.813	0.682	7.22E-48	Trem2 foamy Mac
Pltp	1.09E-31	0.290813185	0.655	0.511	1.83E-27	Trem2 foamy Mac
Cebpb1	1.45E-21	0.383341606	0.697	0.546	2.42E-17	Trem2 foamy Mac
